episode,ep_return,ep_length,global_step,epsilon
0,16.35729217529297,21,5376,0.0
1,17.215301513671875,22,5632,0.0
2,17.148725509643555,22,5632,0.0
3,17.02937126159668,22,5632,0.0
4,18.25012969970703,23,5888,0.0
5,18.876625061035156,24,6144,0.0
6,18.961519241333008,24,6144,0.0
7,18.86914825439453,24,6144,0.0
8,19.128990173339844,24,6144,0.0
9,19.21470832824707,24,6144,0.0
10,19.01605987548828,24,6144,0.0
11,19.17745018005371,24,6144,0.0
12,20.144033432006836,25,6400,0.0
13,20.040870666503906,25,6400,0.0
14,19.990324020385742,25,6400,0.0
15,20.261789321899414,25,6400,0.0
16,20.093027114868164,25,6400,0.0
17,20.94340705871582,26,6656,0.0
18,21.1356258392334,26,6656,0.0
19,20.995471954345703,26,6656,0.0
20,21.157798767089844,26,6656,0.0
21,20.998180389404297,26,6656,0.0
22,21.81836700439453,27,6912,0.0
23,22.194791793823242,27,6912,0.0
24,21.758285522460938,27,6912,0.0
25,22.01805877685547,27,6912,0.0
26,22.947452545166016,28,7168,0.0
27,23.145462036132812,28,7168,0.0
28,23.063064575195312,28,7168,0.0
29,23.113040924072266,28,7168,0.0
30,23.26617431640625,28,7168,0.0
31,23.92558479309082,29,7424,0.0
32,24.240774154663086,29,7424,0.0
33,24.356430053710938,29,7424,0.0
34,24.371597290039062,29,7424,0.0
35,25.047693252563477,30,7680,0.0
36,25.28441047668457,30,7680,0.0
37,24.950519561767578,30,7680,0.0
38,25.330995559692383,30,7680,0.0
39,25.02864646911621,30,7680,0.0
40,25.112619400024414,30,7680,0.0
41,24.926504135131836,30,7680,0.0
42,26.29224967956543,31,7936,0.0
43,25.94058609008789,31,7936,0.0
44,25.871337890625,31,7936,0.0
45,27.13055419921875,32,8192,0.0
46,26.725933074951172,32,8192,0.0
47,26.68231201171875,32,8192,0.0
48,26.490192413330078,32,8192,0.0
49,26.544231414794922,32,8192,0.0
50,26.285289764404297,32,8192,0.0
51,27.0942325592041,32,8192,0.0
52,27.03150749206543,33,8448,0.0
53,28.224639892578125,33,8448,0.0
54,27.558143615722656,33,8448,0.0
55,27.676494598388672,33,8448,0.0
56,27.32491111755371,33,8448,0.0
57,28.380807876586914,34,8704,0.0
58,28.837825775146484,34,8704,0.0
59,28.803869247436523,34,8704,0.0
60,29.495271682739258,34,8704,0.0
61,29.191268920898438,35,8960,0.0
62,29.73796844482422,35,8960,0.0
63,30.159420013427734,35,8960,0.0
64,29.74324607849121,35,8960,0.0
65,29.388086318969727,35,8960,0.0
66,30.35492706298828,36,9216,0.0
67,31.135391235351562,36,9216,0.0
68,31.242900848388672,36,9216,0.0
69,30.431753158569336,36,9216,0.0
70,30.880786895751953,36,9216,0.0
71,31.43390655517578,37,9472,0.0
72,32.4372673034668,37,9472,0.0
73,31.716350555419922,37,9472,0.0
74,32.028648376464844,37,9472,0.0
75,32.26543426513672,37,9472,0.0
76,32.05188751220703,37,9472,0.0
77,31.8865909576416,37,9472,0.0
78,33.017581939697266,38,9728,0.0
79,32.67646789550781,38,9728,0.0
80,32.08039093017578,38,9728,0.0
81,33.21179962158203,38,9728,0.0
82,32.08540344238281,38,9728,0.0
83,32.437984466552734,38,9728,0.0
84,32.233978271484375,38,9728,0.0
85,33.08946228027344,39,9984,0.0
86,33.726009368896484,39,9984,0.0
