episode,ep_return,ep_length,global_step,epsilon
0,16.3242244720459,21,5376,1.0
1,17.905160903930664,23,5888,1.0
2,17.91765594482422,23,5888,1.0
3,18.21023941040039,23,5888,1.0
4,18.949295043945312,24,6144,1.0
5,19.000417709350586,24,6144,1.0
6,19.767982482910156,25,6400,1.0
7,20.17601776123047,25,6400,1.0
8,19.81369400024414,25,6400,1.0
9,20.95699691772461,26,6656,1.0
10,22.033477783203125,27,6912,1.0
11,21.534339904785156,27,6912,1.0
12,21.8737735748291,27,6912,1.0
13,22.55183982849121,28,7168,1.0
14,23.108678817749023,28,7168,1.0
15,22.862560272216797,28,7168,1.0
16,22.808347702026367,28,7168,1.0
17,22.751602172851562,28,7168,1.0
18,23.750167846679688,29,7424,1.0
19,23.599077224731445,29,7424,1.0
20,23.758281707763672,29,7424,1.0
21,24.528778076171875,30,7680,1.0
22,24.624364852905273,30,7680,1.0
23,24.160701751708984,30,7680,1.0
24,24.5730037689209,30,7680,1.0
25,24.747575759887695,30,7680,1.0
26,25.468372344970703,31,7936,1.0
27,25.523082733154297,31,7936,1.0
28,25.681116104125977,31,7936,1.0
29,25.45015525817871,31,7936,1.0
30,26.29074478149414,32,8192,1.0
31,26.573745727539062,32,8192,1.0
32,26.998275756835938,32,8192,1.0
33,27.7773494720459,33,8448,1.0
34,27.652088165283203,33,8448,1.0
35,27.616369247436523,33,8448,1.0
36,28.067962646484375,33,8448,1.0
37,27.37488555908203,33,8448,1.0
38,28.97533416748047,34,8704,1.0
39,28.75210952758789,34,8704,1.0
40,28.565799713134766,34,8704,1.0
41,28.157455444335938,34,8704,1.0
42,28.208860397338867,34,8704,1.0
43,29.89784049987793,35,8960,1.0
44,28.833133697509766,35,8960,1.0
45,29.78423500061035,35,8960,1.0
46,30.030094146728516,35,8960,1.0
47,30.211286544799805,36,9216,1.0
48,30.571216583251953,36,9216,1.0
49,30.584213256835938,36,9216,1.0
50,30.890899658203125,37,9472,1.0
51,31.70341682434082,37,9472,1.0
52,32.80776596069336,38,9728,1.0
53,31.763561248779297,38,9728,1.0
54,32.825931549072266,38,9728,1.0
55,31.98486328125,38,9728,1.0
56,31.88791847229004,38,9728,1.0
57,32.22905349731445,38,9728,1.0
58,33.05179214477539,39,9984,1.0
59,32.62505340576172,39,9984,1.0
60,32.94670867919922,39,9984,1.0
61,33.50431823730469,40,10240,1.0
62,34.73650360107422,40,10240,1.0
63,34.29695129394531,40,10240,1.0
64,34.76290512084961,41,10496,1.0
65,35.6021614074707,41,10496,1.0
66,34.95494079589844,41,10496,1.0
67,36.189231872558594,42,10752,1.0
68,35.26190185546875,42,10752,1.0
69,37.32133865356445,43,11008,1.0
70,36.79816436767578,43,11008,1.0
71,37.79014587402344,44,11264,1.0
72,38.52912521362305,44,11264,1.0
73,38.623321533203125,44,11264,1.0
74,37.40288162231445,44,11264,1.0
75,37.17737579345703,44,11264,1.0
76,38.879825592041016,44,11264,1.0
77,39.74217987060547,46,11776,1.0
78,40.20709991455078,46,11776,1.0
79,39.14575958251953,46,11776,1.0
80,40.34345245361328,46,11776,1.0
81,41.51768112182617,47,12032,1.0
82,40.96574401855469,47,12032,1.0
83,40.15964126586914,47,12032,1.0
84,41.03811264038086,48,12288,1.0
85,41.54804992675781,48,12288,1.0
86,42.980247497558594,49,12544,1.0
87,43.83600997924805,50,12800,1.0
88,43.80813980102539,50,12800,1.0
89,43.81707763671875,50,12800,1.0
90,43.7977294921875,51,13056,1.0
91,45.02151107788086,52,13312,1.0
92,47.09728240966797,53,13568,1.0
93,46.079952239990234,53,13568,1.0
94,47.15423583984375,53,13568,1.0
95,45.51332092285156,53,13568,1.0
96,47.925960540771484,54,13824,1.0
97,46.257896423339844,54,13824,1.0
98,48.048885345458984,54,13824,1.0
99,46.68165588378906,54,13824,1.0
100,47.863216400146484,55,14080,1.0
101,47.53745651245117,55,14080,1.0
102,48.74751663208008,56,14336,1.0
103,49.418392181396484,56,14336,1.0
104,48.80658721923828,56,14336,1.0
105,49.69132995605469,57,14592,1.0
106,50.7061653137207,57,14592,1.0
107,48.83952713012695,57,14592,1.0
108,49.84298324584961,57,14592,1.0
109,50.24360275268555,57,14592,1.0
110,49.6983642578125,57,14592,1.0
111,49.56553649902344,58,14848,1.0
112,53.07016372680664,59,15104,1.0
113,52.80353546142578,59,15104,1.0
114,53.71959686279297,60,15360,1.0
115,53.88991928100586,60,15360,1.0
116,54.59284973144531,61,15616,1.0
117,53.555145263671875,62,15872,1.0
118,55.81724548339844,62,15872,1.0
119,54.946937561035156,62,15872,1.0
120,55.333900451660156,63,16128,1.0
121,57.45637893676758,64,16384,1.0
122,56.537166595458984,64,16384,1.0
123,58.151702880859375,65,16640,1.0
124,59.934085845947266,67,17152,1.0
125,59.955345153808594,67,17152,1.0
126,58.249229431152344,67,17152,1.0
127,59.98008728027344,67,17152,1.0
128,57.983482360839844,67,17152,1.0
129,60.66465377807617,68,17408,1.0
130,37.126258850097656,44,17664,1.0
131,63.77464294433594,72,18432,1.0
132,38.71103286743164,46,18432,1.0
133,63.32675552368164,72,18432,1.0
134,64.2528305053711,72,18432,1.0
135,63.91488265991211,73,18688,1.0
136,63.633575439453125,73,18688,1.0
137,65.60560607910156,73,18688,1.0
138,37.33829879760742,45,19200,1.0
139,67.60386657714844,76,19456,1.0
140,69.60760498046875,77,19712,1.0
141,69.1541519165039,78,19968,1.0
142,69.8128890991211,79,20224,1.0
143,71.89265441894531,80,20480,1.0
144,40.96268844604492,49,20480,1.0
145,45.16788864135742,53,20480,1.0
146,40.49093246459961,48,20480,1.0
147,72.45013427734375,81,20736,1.0
148,41.83974075317383,50,21248,1.0
149,77.23834228515625,86,22016,1.0
150,77.56670379638672,87,22272,1.0
151,77.99321746826172,87,22272,1.0
152,77.68705749511719,87,22272,1.0
153,78.89933013916016,88,22528,1.0
154,80.3722915649414,90,23040,1.0
155,80.82939910888672,90,23040,1.0
156,81.6374282836914,91,23296,1.0
157,48.965484619140625,58,23296,1.0
158,83.59374237060547,93,23808,1.0
159,62.527183532714844,71,24064,1.0
160,84.98075866699219,94,24064,1.0
161,85.97868347167969,96,24576,1.0
162,63.69743728637695,74,24832,1.0
163,88.32997131347656,98,25088,1.0
164,90.8381576538086,100,25600,1.0
165,92.09971618652344,102,26112,1.0
166,63.230464935302734,73,26112,1.0
167,92.39434814453125,102,26112,1.0
168,94.18216705322266,104,26624,1.0
169,95.072998046875,105,26880,1.0
170,97.34390258789062,108,27648,1.0
171,71.4418716430664,82,28160,1.0
172,101.58499908447266,112,28672,1.0
173,75.81303405761719,86,29184,1.0
174,105.38858795166016,116,29696,1.0
175,72.34346008300781,83,30208,1.0
176,71.64488220214844,83,30976,1.0
177,109.81440734863281,121,30976,1.0
178,110.93241882324219,122,31232,1.0
179,112.95108795166016,124,31744,1.0
180,114.63314819335938,125,32000,1.0
181,114.49707794189453,125,32000,1.0
182,115.00707244873047,126,32256,1.0
183,116.03062438964844,127,32512,1.0
184,78.61904907226562,89,32512,1.0
185,87.28732299804688,98,32768,1.0
186,84.97793579101562,97,33792,1.0
187,122.9173355102539,134,34304,1.0
188,94.00144958496094,105,34304,1.0
189,125.52632141113281,136,34816,1.0
190,127.7026596069336,138,35328,1.0
191,99.48927307128906,110,36096,1.0
192,133.29229736328125,144,36864,1.0
193,87.52787780761719,99,37120,1.0
194,97.10847473144531,109,37120,1.0
195,133.9491729736328,145,37120,1.0
196,102.57842254638672,108,37376,1.0
197,96.91009521484375,102,37376,1.0
198,137.13255310058594,147,37632,1.0
199,142.45513916015625,148,37888,1.0
200,144.0767059326172,149,38144,1.0
201,143.96022033691406,149,38144,1.0
202,100.05567932128906,105,38144,1.0
203,113.05274963378906,118,38144,1.0
204,143.3768310546875,149,38144,1.0
205,109.65161895751953,115,38144,1.0
206,139.25369262695312,150,38400,1.0
207,144.4628143310547,150,38400,1.0
208,115.55570983886719,121,38656,1.0
209,95.28459930419922,101,38656,1.0
210,103.03699493408203,108,38912,1.0
211,146.7655029296875,152,38912,1.0
212,142.2041015625,152,38912,1.0
213,145.9287872314453,152,38912,1.0
214,99.76514434814453,105,38912,1.0
215,104.15315246582031,109,38912,1.0
216,105.30196380615234,111,38912,1.0
217,146.7038116455078,152,38912,1.0
218,148.4531707763672,153,39168,1.0
219,147.97476196289062,153,39168,1.0
220,105.27645874023438,111,39168,1.0
221,147.34811401367188,153,39168,1.0
222,146.8825225830078,153,39168,1.0
223,147.94815063476562,153,39168,1.0
224,147.8761749267578,153,39168,1.0
225,148.6514434814453,154,39424,1.0
226,148.72239685058594,154,39424,1.0
227,98.3829574584961,104,39424,1.0
228,77.03199768066406,82,39424,1.0
229,93.42015838623047,99,39680,1.0
230,89.18506622314453,95,39680,1.0
231,82.39112091064453,88,39680,1.0
232,150.94970703125,156,39936,1.0
233,102.35993957519531,109,39936,1.0
234,114.7846908569336,120,39936,1.0
235,107.02659606933594,112,39936,1.0
236,150.81387329101562,156,39936,1.0
237,104.43785858154297,109,40192,1.0
238,71.29010009765625,77,40192,1.0
239,113.91606903076172,119,40192,1.0
240,151.71542358398438,157,40192,1.0
241,95.30232238769531,100,40192,1.0
242,71.87071228027344,77,40192,1.0
243,94.92769622802734,101,40192,1.0
244,64.27372741699219,69,40192,1.0
245,111.1894760131836,118,40192,1.0
246,64.43089294433594,70,40192,1.0
247,107.99571990966797,114,40448,1.0
248,113.21085357666016,118,40448,1.0
249,114.87273406982422,120,40448,1.0
250,80.14411926269531,86,40448,1.0
251,121.85013580322266,127,40448,1.0
252,146.96139526367188,158,40448,1.0
253,97.8641586303711,104,40448,1.0
254,150.94424438476562,158,40448,1.0
255,96.3433837890625,103,40704,1.0
256,87.46898651123047,92,40704,1.0
257,68.06326293945312,73,40704,1.0
258,153.95530700683594,159,40704,1.0
259,85.96890258789062,91,40704,1.0
260,70.1496810913086,76,40704,1.0
261,81.83746337890625,87,40704,1.0
262,118.03181457519531,123,40704,1.0
263,60.84163284301758,66,40960,1.0
264,154.97930908203125,160,40960,1.0
265,148.8356475830078,160,40960,1.0
266,106.03661346435547,113,40960,1.0
267,153.20484924316406,160,40960,1.0
268,119.74991607666016,126,40960,1.0
269,102.62323760986328,108,41216,1.0
270,101.33293914794922,107,41216,1.0
271,114.4911880493164,119,41216,1.0
272,155.9527587890625,161,41216,1.0
273,128.4326934814453,133,41216,1.0
274,155.4970245361328,161,41216,1.0
275,127.95097351074219,135,41472,1.0
276,121.91069030761719,127,41472,1.0
277,157.1922149658203,162,41472,1.0
278,87.81146240234375,95,41472,1.0
279,101.12459564208984,108,41472,1.0
280,66.88643646240234,72,41472,1.0
281,84.2406997680664,91,41728,1.0
282,156.42593383789062,163,41728,1.0
283,78.88571166992188,84,41728,1.0
284,75.63705444335938,82,41728,1.0
285,123.9775390625,130,41728,1.0
286,129.10910034179688,136,41728,1.0
287,157.3736114501953,163,41728,1.0
288,156.6653594970703,163,41728,1.0
289,157.31185913085938,163,41728,1.0
290,129.16995239257812,135,41728,1.0
291,158.2409210205078,163,41728,1.0
292,157.7810516357422,163,41728,1.0
293,156.96607971191406,163,41728,1.0
294,157.53102111816406,163,41728,1.0
295,157.8468780517578,164,41984,1.0
296,156.742919921875,164,41984,1.0
297,63.66487503051758,68,41984,1.0
298,115.42771911621094,126,42240,1.0
299,134.69825744628906,141,42240,1.0
300,123.94681549072266,130,42240,1.0
301,157.59921264648438,165,42240,1.0
302,159.69952392578125,165,42240,1.0
303,107.41136169433594,112,42240,1.0
304,110.7191162109375,116,42240,1.0
305,114.31009674072266,121,42240,1.0
306,114.37555694580078,126,42496,1.0
307,160.70664978027344,166,42496,1.0
308,59.66170120239258,64,42496,1.0
309,160.26832580566406,166,42496,1.0
310,70.16573333740234,75,42496,1.0
311,107.82605743408203,114,42496,1.0
312,158.87120056152344,166,42496,1.0
313,60.23772048950195,66,42496,1.0
314,102.48809051513672,109,42752,1.0
315,159.83729553222656,167,42752,1.0
316,160.8654022216797,167,42752,1.0
317,28.840253829956055,33,42752,1.0
318,17.905588150024414,22,42752,1.0
319,138.1866455078125,143,42752,1.0
320,128.0507354736328,133,42752,1.0
321,38.770057678222656,43,43008,1.0
322,162.3120574951172,168,43008,1.0
323,161.04933166503906,168,43008,1.0
324,27.929122924804688,32,43008,1.0
325,162.686279296875,168,43008,1.0
326,102.46172332763672,108,43264,1.0
327,18.716127395629883,23,43264,1.0
328,158.74322509765625,169,43264,1.0
329,12.687460899353027,17,43264,1.0
330,161.88758850097656,169,43264,1.0
331,14.657154083251953,19,43264,1.0
332,99.53801727294922,105,43520,1.0
333,158.9361114501953,170,43520,1.0
334,33.63645935058594,38,43520,1.0
335,11.536199569702148,16,43520,1.0
336,16.702335357666016,21,43520,1.0
337,132.5337677001953,140,43520,1.0
338,43.51629638671875,48,43520,1.0
339,13.489317893981934,18,43520,1.0
340,164.4970245361328,170,43520,1.0
341,114.83153533935547,120,43520,1.0
342,164.4112548828125,170,43520,1.0
343,106.22322082519531,113,43520,1.0
344,17.61459732055664,22,43776,1.0
345,106.5196533203125,112,43776,1.0
346,166.0592803955078,171,43776,1.0
347,165.86660766601562,171,43776,1.0
348,109.43790435791016,116,43776,1.0
349,161.0626220703125,171,43776,1.0
350,166.2554473876953,171,43776,1.0
351,163.83201599121094,171,43776,1.0
