episode,ep_return,ep_length,global_step,epsilon
0,14.33714485168457,19,4864,0.9990500000000001
1,15.101078033447266,20,5120,0.9990000000000001
2,15.251625061035156,20,5120,0.9990000000000001
3,16.12702178955078,21,5376,0.9989500000000001
4,17.310579299926758,22,5632,0.9989000000000001
5,17.37421226501465,22,5632,0.9989000000000001
6,17.98588752746582,23,5888,0.9988500000000001
7,18.07828712463379,23,5888,0.9988500000000001
8,19.04642105102539,24,6144,0.9988000000000001
9,19.07131004333496,24,6144,0.9988000000000001
10,20.350013732910156,25,6400,0.9987500000000001
11,20.938974380493164,26,6656,0.9987000000000001
12,21.061491012573242,26,6656,0.9987000000000001
13,21.164207458496094,26,6656,0.9987000000000001
14,20.930505752563477,26,6656,0.9987000000000001
15,20.774324417114258,26,6656,0.9987000000000001
16,21.82547378540039,27,6912,0.9986500000000001
17,22.676746368408203,28,7168,0.9986000000000002
18,22.697128295898438,28,7168,0.9986000000000002
19,23.079072952270508,28,7168,0.9986000000000002
20,22.626419067382812,28,7168,0.9986000000000002
21,23.825109481811523,29,7424,0.9985500000000002
22,23.963916778564453,29,7424,0.9985500000000002
23,24.059452056884766,29,7424,0.9985500000000002
24,23.734813690185547,29,7424,0.9985500000000002
25,23.48531723022461,29,7424,0.9985500000000002
26,23.76504898071289,29,7424,0.9985500000000002
27,24.937824249267578,30,7680,0.9985000000000002
28,24.254486083984375,30,7680,0.9985000000000002
29,24.619264602661133,30,7680,0.9985000000000002
30,24.7401180267334,30,7680,0.9985000000000002
31,24.496749877929688,30,7680,0.9985000000000002
32,24.882553100585938,30,7680,0.9985000000000002
33,24.57821273803711,30,7680,0.9985000000000002
34,25.16415786743164,30,7680,0.9985000000000002
35,26.17913818359375,31,7936,0.9984500000000002
36,25.595630645751953,31,7936,0.9984500000000002
37,25.506053924560547,31,7936,0.9984500000000002
38,25.293807983398438,31,7936,0.9984500000000002
39,25.209306716918945,31,7936,0.9984500000000002
40,25.837459564208984,31,7936,0.9984500000000002
41,25.703290939331055,31,7936,0.9984500000000002
42,26.137861251831055,32,8192,0.9984000000000002
43,26.878541946411133,32,8192,0.9984000000000002
