episode,ep_return,ep_length
91,318.61651611328125,324
35,330.9289245605469,336
98,339.9031066894531,345
23,343.09771728515625,348
96,359.1556396484375,364
93,362.7870178222656,367
72,375.38653564453125,381
85,390.75115966796875,395
39,395.86297607421875,400
62,394.8860168457031,400
38,407.70263671875,412
13,427.1644287109375,432
30,427.91290283203125,432
25,437.08544921875,442
69,441.953857421875,447
81,468.4353942871094,474
83,469.59954833984375,474
92,478.8771057128906,483
66,487.7815856933594,493
54,491.40069580078125,497
58,494.77593994140625,500
0,508.9659729003906,514
99,511.037841796875,516
6,526.051513671875,530
95,531.6172485351562,536
89,532.6293334960938,538
9,537.068115234375,542
1,543.9149780273438,549
75,544.9530029296875,550
97,547.8154296875,552
49,548.761474609375,553
7,552.8861083984375,557
21,555.9525756835938,561
17,564.0903930664062,568
22,564.2359008789062,569
67,567.0687866210938,572
52,574.7127075195312,580
90,576.1340942382812,581
36,579.9515380859375,585
10,592.0565795898438,596
5,600.8812255859375,606
3,604.6483764648438,609
45,608.9855346679688,614
12,616.641845703125,621
77,626.7340698242188,632
37,627.8753051757812,633
74,628.6411743164062,633
86,636.7948608398438,641
41,641.9663696289062,646
43,641.4327392578125,647
70,673.980224609375,678
27,674.9715576171875,680
14,690.1490478515625,694
51,699.145263671875,703
55,700.9169921875,706
8,727.9044799804688,733
63,739.07666015625,743
68,753.9827270507812,758
33,764.1243286132812,768
16,766.1557006835938,771
24,768.790283203125,774
15,769.6979370117188,775
82,854.6328735351562,859
44,878.7896118164062,884
46,881.9430541992188,886
87,964.0448608398438,968
2,996.5924682617188,1000
4,996.5040893554688,1000
11,999.4163208007812,1000
18,996.7743530273438,1000
19,999.8717651367188,1000
20,996.392822265625,1000
26,996.2394409179688,1000
28,996.59375,1000
29,996.6015625,1000
31,996.079345703125,1000
32,996.7713623046875,1000
34,996.6470947265625,1000
40,996.4108276367188,1000
42,996.3436279296875,1000
47,999.4970092773438,1000
48,996.7194213867188,1000
50,996.6102294921875,1000
53,996.45947265625,1000
56,998.4796752929688,1000
57,996.2678833007812,1000
59,999.95654296875,1000
60,996.409912109375,1000
61,996.5973510742188,1000
64,996.6069946289062,1000
65,996.3658447265625,1000
71,996.2886352539062,1000
73,996.7001953125,1000
76,996.630615234375,1000
78,996.443603515625,1000
79,996.103515625,1000
80,996.694580078125,1000
84,998.7156372070312,1000
88,999.3519287109375,1000
94,996.7449951171875,1000
