episode,step,cart_pos,pole_angle,cart_vel,pole_ang_vel,action
0,0,-0.09479418,-0.10346123,0.1282646,0.07071364,2.5
1,0,0.09573972,0.10364932,0.17330548,0.15781942,-2.0
2,0,0.061765015,0.10457751,-0.07396959,0.0062360168,-2.0
3,0,-0.16514502,0.122044265,0.17800778,-0.17317906,2.5
4,0,0.089140534,0.09814665,0.06832048,0.091284305,-2.0
5,0,-0.1261615,-0.07952817,-0.029855162,-0.1518887,2.5
6,0,-0.20112099,0.08410758,0.11965597,0.1286883,-0.5
7,0,-0.14245397,0.13914314,0.030940816,-0.120103054,-0.5
8,0,-0.17605267,-0.12752011,-0.15296191,-0.048793867,2.0
9,0,-0.14618286,-0.11208218,0.0044704378,-0.1589424,2.5
10,0,-0.11521968,0.081533164,-0.009862557,0.20443502,-2.0
11,0,-0.20498393,-0.09256843,-0.02743572,0.003756985,2.0
12,0,-0.012189597,0.20425066,0.12089452,0.026359126,-2.0
13,0,0.056593716,-0.028034255,0.20036358,0.03368841,2.5
14,0,-0.17405048,-0.0031341463,-0.032573298,0.12966666,-0.5
15,0,0.14016739,0.1938763,0.13759902,0.1288484,-2.5
16,0,-0.1375632,-0.067450106,0.0018192083,0.09490991,2.0
17,0,-0.18269037,0.07188183,0.025339141,0.08553657,-2.0
18,0,0.19150838,0.015726224,0.07084522,0.17631564,-2.0
19,0,-0.07448463,0.06044787,-0.031118363,-0.048766255,-2.0
20,0,-0.14464685,-0.15576404,-0.175374,0.0852958,-0.5
21,0,0.048437893,0.019384831,-0.15505204,-0.029997453,-2.0
22,0,-0.021439224,-0.0015245527,-0.070902124,-0.13942954,-0.5
23,0,0.100845486,-0.12053588,0.1368582,-0.08572008,2.5
24,0,-0.16954622,-0.021847993,0.12252447,-0.16900505,2.5
25,0,-0.04499276,-0.104000255,0.19077188,0.036334693,2.5
26,0,0.11896312,0.18361652,0.16418663,-0.095062084,-2.0
27,0,0.059809804,0.15982524,0.08059007,-0.13233757,-2.0
28,0,-0.034239918,-0.08958409,-0.011922687,-0.023175552,2.0
29,0,0.08831981,0.10343063,-0.12670285,-0.13257208,-2.0
30,0,-0.18432128,0.15006769,0.03776729,0.189002,-2.5
31,0,-0.15012513,-0.19838223,0.08524278,-0.05981107,2.5
32,0,0.093150795,-0.013950884,0.16530704,0.015971184,2.0
33,0,-0.18996902,-0.021360546,0.055345297,0.17506343,-0.5
34,0,0.012011886,-0.11305199,0.0058858544,-0.005948901,2.0
35,0,0.18735477,-0.106518306,0.102015644,0.09201315,-0.5
36,0,0.08169046,0.11857805,-0.066745564,-0.1971505,-2.0
37,0,0.040152878,0.09224844,-0.10743302,-0.1992636,-2.0
38,0,-0.1937981,0.19893917,0.011288241,-0.044603795,-2.0
39,0,-0.18673182,0.1672799,-0.14019276,0.0646033,-2.5
40,0,0.16643384,0.101971984,0.070806056,0.2041224,-2.0
41,0,-0.061856255,0.07524052,-0.2068032,0.06293583,-2.5
42,0,-0.055927157,-0.17950857,0.022423014,-0.14083163,2.5
43,0,0.19822225,0.17054078,-0.19145972,-0.12003405,-2.5
44,0,0.050813615,0.111303985,0.014849782,0.19984782,-2.5
45,0,-0.12035482,-0.05479318,0.13877591,-0.011670813,2.5
46,0,-0.19686127,0.019947872,0.1704776,-0.13869831,2.5
47,0,-0.053158283,0.08930713,-0.09329503,-0.09713363,-2.0
48,0,0.13044211,0.09899932,0.07168952,0.13864306,-2.0
49,0,-0.044038057,0.17960414,-0.17823978,-0.20353761,-2.0
50,0,0.018032491,-0.088824295,-0.009739548,-0.110069886,2.5
51,0,-0.20700566,-0.016628593,-0.073619425,-0.07766044,2.0
52,0,-0.1788469,-0.17662255,-0.041116446,0.11183548,2.0
53,0,-0.062454686,-0.14515367,-0.041266263,0.08733401,2.0
54,0,-0.1716936,-0.19858217,-0.036179528,0.059374154,2.0
55,0,-0.1186797,-0.0914439,-0.1849465,-0.0049203485,-0.5
56,0,-0.17919901,-0.09978389,-0.046048567,0.09737721,2.0
57,0,0.09837642,-0.16884027,0.11436072,-0.14720923,2.5
58,0,0.19735274,0.0882529,-0.18501166,-0.058390647,-2.5
59,0,-0.12746778,0.01797904,-0.10872209,-0.18328342,-0.5
60,0,-0.012316182,-0.15668285,-0.07841402,0.045767367,2.0
61,0,-0.0834292,-0.0059249103,0.2033307,0.20637417,2.0
62,0,-0.0055220276,-0.14377317,0.11040753,0.025572836,2.5
63,0,-0.10315077,0.03221482,-0.1287179,0.095629156,-2.0
64,0,0.1298461,-0.11599475,0.10530147,-0.005538121,2.5
65,0,0.11082673,-0.16230601,0.08134669,0.065986425,2.0
66,0,0.20334962,0.07415193,-0.20358056,0.019044653,-2.5
67,0,0.010513082,-0.02162847,-0.15582702,0.031371027,-2.0
68,0,-0.13439472,0.08005428,0.15472087,-0.011713475,2.0
69,0,0.16203737,0.062262326,0.010529146,-0.008377492,-2.0
70,0,-0.11563768,0.11345732,0.14217994,0.06614569,-1.5
71,0,0.12746915,0.17823642,0.01114513,-0.0010072738,-2.5
72,0,-0.20516406,-0.20183142,0.20211896,-0.17411913,2.5
73,0,0.1411989,0.064870924,0.111371666,-0.11930331,-0.5
74,0,-0.18170153,0.10210866,0.19801944,-0.20330359,2.5
75,0,0.005633414,-0.012402058,0.06417447,0.20418137,-2.0
76,0,0.062158167,-0.115781866,0.118986815,-0.18281618,2.5
77,0,0.12559539,0.14891529,-0.077955216,-0.14347702,-2.0
78,0,0.1678626,-0.08401932,-0.096405774,0.09421635,-2.0
79,0,-0.007402733,-0.16747065,-0.19138324,0.05147484,-0.5
