episode,step,cart_pos,pole_angle,cart_vel,pole_ang_vel,action
0,0,-0.18027619,-0.08316414,0.052787483,0.12910098,-1.5
1,0,-0.14480609,-0.035351202,-0.0035178363,-0.19700016,-1.5
2,0,0.14265695,0.025885299,0.11437088,0.13904786,-2.5
3,0,0.16537952,0.018765002,-0.20113663,-0.00860706,-2.5
4,0,-0.1966207,0.098897636,0.04273337,-0.091291524,-2.5
5,0,0.050595373,-0.20020674,-0.17069194,-0.09748708,-1.5
6,0,-0.11378593,0.20861274,-0.0041130334,-0.09303767,-2.5
7,0,-0.060606763,-0.09080355,-0.16049902,0.197115,-1.5
8,0,0.073259026,0.13217524,-0.123415485,0.11817899,-2.5
9,0,0.14674133,0.111102074,-0.103571795,-0.008263826,-2.5
10,0,-0.023126915,-0.15082604,0.118710846,-0.1244317,-1.5
11,0,0.08606678,0.06288454,-0.029077232,-0.01084891,-2.5
12,0,0.16254222,-0.09669985,-0.12065258,0.07224816,-1.5
13,0,-0.032456115,-0.07339904,0.026492506,0.046504617,-1.5
14,0,0.19705614,-0.020981148,-0.15789725,-0.010143623,-1.5
15,0,-0.1482455,-0.19805562,0.16709796,-0.011920229,-1.5
16,0,0.14646006,0.10487431,0.19885656,-0.13481012,-2.5
17,0,-0.17976275,-0.060037717,-0.13584882,0.05816263,-1.5
18,0,-0.14437352,0.1428341,0.11096227,0.18144369,-2.5
19,0,-0.018064648,0.16257444,-0.09669944,-0.18813674,-2.5
20,0,0.1623545,-0.15680547,-0.17317694,-0.090036884,-1.5
21,0,-0.03967251,-0.124819964,0.1855075,0.00635539,-1.5
22,0,-0.0687688,-0.14716916,0.15703449,0.094017476,-1.5
23,0,0.004735723,0.09673986,-0.107970044,-0.18477535,-2.5
24,0,0.19377321,-0.084590554,-0.19830628,0.14199018,-1.5
25,0,-0.008434713,0.089657664,0.035120323,0.18147054,-2.5
26,0,-0.1703609,-0.07775448,0.15804088,-0.1356127,-1.5
27,0,0.024102017,-0.053975403,0.039516866,0.1886388,-1.5
28,0,0.15850523,-0.13362265,-0.20652837,0.072828054,-1.5
29,0,0.12758684,0.18910238,-0.07084447,0.11003393,-2.5
30,0,0.15161306,0.12687153,0.101662785,0.004057154,-2.5
31,0,0.12549898,0.20629069,-0.06920804,-0.018923074,-2.5
32,0,-0.060396716,0.15373242,0.051177114,-0.196515,-2.5
33,0,0.16908154,0.10654649,0.123348266,0.11781135,-2.5
34,0,-0.18005352,-0.13119555,-0.11508248,0.19665179,-1.5
35,0,0.12929979,0.07518852,0.08900344,0.17871314,-2.5
36,0,-0.1675476,0.1341618,0.052823484,0.17797744,-2.5
37,0,-0.022092506,0.046097577,0.16951033,0.095917195,-2.5
38,0,0.11819905,-0.18411043,0.033137232,-0.13120112,-1.5
39,0,0.17735526,0.16864797,-0.0927703,0.06931767,-2.5
40,0,-0.09055532,0.08859894,-0.13068362,0.1962516,-2.5
41,0,0.18573269,0.08579922,0.033660874,-0.088636905,-2.5
42,0,-0.096572705,0.051544517,-0.114818044,-0.13640842,-2.5
43,0,0.0746212,-0.07645364,0.18144807,-0.072386384,-1.5
44,0,0.13333908,0.08159423,-0.17616934,0.15603071,-2.5
45,0,-0.16991678,0.08823532,0.07910168,-0.20357466,-2.5
46,0,0.11796808,0.007542193,-0.04236321,-0.19200492,-2.5
47,0,0.04731387,0.111969054,-0.030721292,-0.011359051,-2.5
48,0,0.03886792,-0.104286864,0.14802372,-0.047835782,-1.5
49,0,-0.12336757,0.12192029,-0.10970469,-0.106997475,-2.5
50,0,0.053965002,-0.08444672,-0.10401905,-0.115928225,-1.5
51,0,-0.14973164,-0.14595267,0.0129558,-0.032363713,-1.5
52,0,0.059402883,-0.1287722,0.10595024,0.12270507,-1.5
53,0,-0.179734,0.15062934,0.013162255,-0.0847391,-2.5
54,0,-0.0063614994,-0.14464712,-0.12420026,-0.1841716,-1.5
55,0,0.009795651,0.06805086,-0.057151854,0.14190549,-2.5
56,0,-0.016859218,-0.06109716,-0.11489287,0.014020592,-1.5
57,0,-0.082311034,0.18397495,-0.06065765,0.19354236,-2.5
58,0,0.009748265,-0.17036764,0.099042475,-0.16468976,-1.5
59,0,0.02438271,-0.20512748,-0.009865269,-0.12873304,-1.5
60,0,0.0987761,-0.014732927,-0.11308223,-0.015836522,-1.5
61,0,0.1411652,0.08397445,-0.10693853,0.0034559816,-2.5
62,0,-0.15136991,-0.12066441,-0.022759333,0.09757966,-1.5
