episode,ep_return,ep_length
18,228.2345733642578,234
28,239.49156188964844,245
57,240.41815185546875,246
19,242.27447509765625,248
21,244.3514404296875,250
50,245.40087890625,251
0,246.72731018066406,252
33,247.49009704589844,253
39,252.3815460205078,258
9,257.42474365234375,263
46,259.0191345214844,265
53,262.1545104980469,268
98,264.0827331542969,270
35,265.4366149902344,271
79,266.1756286621094,272
92,266.5103454589844,272
25,271.63616943359375,277
17,279.7654113769531,285
87,282.53399658203125,288
52,285.8038330078125,291
24,289.1313781738281,295
3,295.5009460449219,301
93,295.4596252441406,301
38,300.3216552734375,306
16,302.3754577636719,308
72,303.11260986328125,309
61,306.6165466308594,312
65,308.9727783203125,314
32,310.1778259277344,315
80,309.6716613769531,315
13,311.6806640625,317
54,311.8173522949219,317
49,312.734375,318
15,315.65045166015625,321
62,316.7852783203125,322
26,318.7330627441406,324
20,321.726806640625,327
55,323.91143798828125,329
74,323.7588806152344,329
47,324.8173828125,330
69,325.70208740234375,331
82,326.013427734375,331
71,326.4436950683594,332
51,328.1548156738281,334
86,335.1129150390625,340
36,335.9413146972656,341
77,335.7265930175781,341
76,337.0054931640625,342
27,339.76031494140625,345
11,341.0127258300781,346
10,341.884033203125,347
22,341.624755859375,347
73,342.7323913574219,348
89,351.623779296875,357
75,355.9570617675781,361
59,367.05322265625,372
91,367.9695129394531,373
31,370.49005126953125,376
70,370.65972900390625,376
67,373.0240478515625,378
43,374.5647888183594,380
94,378.9523010253906,384
99,384.8844299316406,390
90,389.1263427734375,394
64,389.9225769042969,395
97,403.0020751953125,408
85,403.92926025390625,409
48,406.8771057128906,412
2,407.8630676269531,413
23,412.0286560058594,417
42,413.8109436035156,419
68,413.65216064453125,419
88,431.38092041015625,437
60,447.8435974121094,453
29,454.66070556640625,460
37,468.217529296875,474
84,472.8687744140625,478
56,484.0830993652344,490
96,488.41900634765625,494
63,499.2944030761719,505
1,501.5779113769531,508
34,508.9027099609375,514
4,522.8513793945312,528
41,531.3903198242188,537
40,532.7695922851562,538
14,537.409423828125,543
81,542.405029296875,548
44,544.6358642578125,550
66,552.6442260742188,558
8,559.8787841796875,566
30,578.359619140625,584
6,579.6182250976562,585
45,598.3624877929688,605
12,607.3314208984375,613
95,613.3809814453125,619
78,630.3472290039062,636
7,663.468505859375,669
58,720.3728637695312,726
5,747.1303100585938,753
83,996.8624267578125,1000
