episode,step,cart_pos,pole_angle,cart_vel,pole_ang_vel,action
0,0,0.16820654,-0.12025149,0.031346634,-0.20922601,1.2851385
1,0,0.18385845,0.19153506,-0.00381504,0.1627742,-2.033788
2,0,0.004470587,0.066331,-0.1776172,-0.20203438,-0.7335324
3,0,0.060128838,-0.10273066,-0.10930767,0.031899855,-0.79744136
4,0,-0.20898575,0.11270395,0.031976014,-0.19377248,-0.513489
5,0,-0.17985322,0.18429324,0.019220054,-0.006054327,-1.2363118
6,0,-0.1622509,0.10448173,-0.07353397,0.10952243,-1.3764699
7,0,-0.19484852,0.10058394,-0.1972164,0.13049802,-1.5640187
8,0,0.016846329,0.18927872,0.1828869,0.15632698,-1.5894026
9,0,0.18124196,-0.11901578,0.05186528,0.13684437,-0.9281161
10,0,-0.08776194,-0.06990002,-0.12645008,-0.14157374,0.09353492
11,0,0.078978926,0.048757404,0.09061587,-0.19101608,0.050688557
12,0,-0.14017108,0.16309783,0.083370924,0.027781859,-1.1795751
13,0,0.03588496,-0.07418886,-0.1964476,-0.12815091,-0.36281118
14,0,-0.06389427,0.15056738,0.004890457,-0.0547805,-1.1415389
15,0,-0.011010319,-0.095780015,0.01614502,0.19928801,-0.9893882
16,0,0.004549414,-0.12732722,-0.117381476,0.09168437,-0.8270829
17,0,-0.049386337,-0.1595941,0.07990646,-0.16088915,1.676638
18,0,0.17212585,-0.20216036,0.16583586,0.044015676,0.7687733
19,0,0.09288791,-0.20285775,0.05339408,-0.08188695,1.3412787
20,0,-0.16586226,-0.15645626,0.15665811,0.17014706,0.40866128
21,0,0.11408761,-0.18480262,0.17588854,0.11505467,0.36420995
22,0,0.009631604,-0.056977242,-0.08538888,0.20514512,-1.3233138
23,0,-0.0921527,0.061634213,0.1967319,0.058523864,-0.72777975
24,0,0.20416883,-0.075289994,-0.16732305,0.19271696,-1.5946954
25,0,0.18288463,-0.07651976,0.08361319,0.16046172,-1.1065198
26,0,0.20920369,0.02653937,-0.04570046,0.022820055,-1.3410463
27,0,-0.035757095,-0.06259425,-0.18763223,-0.090811655,-0.5350237
28,0,0.07464418,-0.20679605,0.2058472,-0.06028162,1.7950205
29,0,-0.002456963,0.10031423,0.06847593,0.15535882,-1.4319433
30,0,-0.10161831,0.16314694,-0.06515151,-0.15773118,-0.99713373
31,0,-0.10652278,-0.08589339,-0.15850556,0.20892113,-1.2287556
