episode,ep_return,ep_length,global_step,epsilon
0,16.1492977142334,21,5376,0.0
1,17.851423263549805,23,5888,0.0
2,17.978334426879883,23,5888,0.0
3,18.949804306030273,24,6144,0.0
4,19.118627548217773,24,6144,0.0
5,19.738222122192383,25,6400,0.0
6,19.786022186279297,25,6400,0.0
7,19.939208984375,25,6400,0.0
8,19.914480209350586,25,6400,0.0
9,20.847942352294922,26,6656,0.0
10,20.668212890625,26,6656,0.0
11,22.781904220581055,28,7168,0.0
12,22.67801856994629,28,7168,0.0
13,22.45197868347168,28,7168,0.0
14,22.589435577392578,28,7168,0.0
15,23.958660125732422,29,7424,0.0
16,23.910419464111328,29,7424,0.0
17,23.8294734954834,29,7424,0.0
18,24.002307891845703,29,7424,0.0
19,23.928577423095703,29,7424,0.0
20,24.625425338745117,30,7680,0.0
21,24.794517517089844,30,7680,0.0
22,24.8731746673584,30,7680,0.0
23,25.163211822509766,30,7680,0.0
24,24.614295959472656,30,7680,0.0
25,24.733272552490234,30,7680,0.0
26,24.386926651000977,30,7680,0.0
27,24.681936264038086,30,7680,0.0
28,25.639402389526367,31,7936,0.0
29,25.650291442871094,31,7936,0.0
30,25.556264877319336,31,7936,0.0
31,26.491777420043945,32,8192,0.0
32,27.204469680786133,32,8192,0.0
33,26.629650115966797,32,8192,0.0
34,27.51416778564453,33,8448,0.0
35,28.131624221801758,33,8448,0.0
36,27.80214500427246,33,8448,0.0
37,27.39153289794922,33,8448,0.0
38,28.23149299621582,34,8704,0.0
39,28.349332809448242,34,8704,0.0
40,28.504165649414062,34,8704,0.0
41,28.349170684814453,34,8704,0.0
42,29.315967559814453,35,8960,0.0
43,29.87331771850586,35,8960,0.0
44,29.110767364501953,35,8960,0.0
45,29.628530502319336,35,8960,0.0
46,29.66416358947754,35,8960,0.0
47,29.233835220336914,35,8960,0.0
48,29.994232177734375,35,8960,0.0
49,30.75783348083496,36,9216,0.0
50,30.130836486816406,36,9216,0.0
51,30.69656753540039,36,9216,0.0
52,30.09210968017578,36,9216,0.0
53,31.13780403137207,37,9472,0.0
54,31.5706729888916,37,9472,0.0
55,32.138736724853516,37,9472,0.0
56,32.651893615722656,38,9728,0.0
57,32.14251708984375,38,9728,0.0
58,33.159000396728516,38,9728,0.0
59,32.406070709228516,38,9728,0.0
60,32.64189147949219,38,9728,0.0
61,33.940670013427734,39,9984,0.0
62,33.08516311645508,39,9984,0.0
63,33.945396423339844,39,9984,0.0
64,33.2693977355957,39,9984,0.0
65,33.19963073730469,39,9984,0.0
66,33.21517562866211,39,9984,0.0
67,33.408119201660156,39,9984,0.0
68,34.752017974853516,40,10240,0.0
69,35.45906066894531,41,10496,0.0
70,35.238460540771484,41,10496,0.0
71,35.51091766357422,41,10496,0.0
72,35.43766403198242,41,10496,0.0
73,35.58600616455078,41,10496,0.0
74,34.855804443359375,41,10496,0.0
75,35.39842224121094,41,10496,0.0
76,35.9389533996582,42,10752,0.0
77,36.206932067871094,42,10752,0.0
78,36.751991271972656,42,10752,0.0
79,37.71003723144531,43,11008,0.0
80,37.671749114990234,43,11008,0.0
81,37.52346420288086,43,11008,0.0
82,37.6766242980957,43,11008,0.0
83,37.58291244506836,43,11008,0.0
84,38.117820739746094,44,11264,0.0
85,38.26845169067383,44,11264,0.0
86,38.96202850341797,44,11264,0.0
87,38.752418518066406,44,11264,0.0
88,38.756202697753906,44,11264,0.0
89,39.61164855957031,45,11520,0.0
90,38.744361877441406,45,11520,0.0
91,39.534996032714844,45,11520,0.0
92,39.95829391479492,45,11520,0.0
93,38.646915435791016,45,11520,0.0
94,39.823707580566406,45,11520,0.0
95,39.197105407714844,45,11520,0.0
96,39.71872329711914,45,11520,0.0
97,39.4365119934082,45,11520,0.0
98,39.79700469970703,45,11520,0.0
99,39.57856750488281,45,11520,0.0
100,40.17704391479492,46,11776,0.0
101,40.3764533996582,46,11776,0.0
102,40.41117477416992,46,11776,0.0
103,40.428409576416016,46,11776,0.0
104,40.513545989990234,46,11776,0.0
105,40.45500183105469,46,11776,0.0
106,40.90448760986328,46,11776,0.0
107,40.52766418457031,46,11776,0.0
108,41.5447883605957,47,12032,0.0
109,41.80818557739258,47,12032,0.0
110,41.9107551574707,47,12032,0.0
111,42.08095169067383,47,12032,0.0
112,41.0848503112793,47,12032,0.0
113,41.75423812866211,47,12032,0.0
114,41.36217498779297,47,12032,0.0
115,41.31060028076172,47,12032,0.0
116,42.158992767333984,48,12288,0.0
117,41.95354080200195,48,12288,0.0
118,42.02243423461914,48,12288,0.0
119,42.095767974853516,48,12288,0.0
120,43.82516098022461,49,12544,0.0
121,43.5180778503418,49,12544,0.0
122,43.79330062866211,49,12544,0.0
123,22.50469970703125,28,12544,0.0
124,43.368896484375,49,12544,0.0
125,44.6365852355957,50,12800,0.0
126,44.18846130371094,50,12800,0.0
127,44.46879577636719,50,12800,0.0
128,44.841548919677734,50,12800,0.0
129,44.926483154296875,50,12800,0.0
130,45.665565490722656,51,13056,0.0
131,45.76773452758789,51,13056,0.0
132,45.583900451660156,51,13056,0.0
