episode,step,cart_pos,pole_angle,cart_vel,pole_ang_vel,action
0,0,-0.15119362,0.00068330765,0.1427229,0.019686505,0.98418474
1,0,-0.058163926,-0.115004,0.15971497,0.029874578,2.4773207
2,0,0.20492905,0.042919546,-0.03294526,-0.04092306,-1.8484352
3,0,0.06359881,0.049923986,0.19270536,0.08408794,-1.0368385
4,0,0.12323812,0.15377992,-0.005426675,0.047530472,-2.4973013
5,0,0.16411105,0.13616967,0.112594604,-0.07235208,-2.4160056
6,0,0.031916484,0.056954294,-0.05590956,0.07362595,-2.1790628
7,0,-0.015697673,-0.09082556,0.17197502,0.0074704736,2.4422956
8,0,-0.06576942,-0.18211892,-0.14737116,0.17983145,2.2321677
9,0,-0.018590003,-0.010570243,0.10475737,-0.040001214,1.6495428
10,0,0.13073328,0.15600348,0.13306087,0.16825506,-2.4968684
11,0,0.023358852,-0.08327061,-0.14028475,-0.15087983,2.1830406
12,0,0.046037495,-0.13079387,-0.18690026,0.0033687353,0.7948353
13,0,-0.18430035,0.16006514,-0.18528964,0.09726846,-2.4980688
14,0,-0.010422915,0.07513034,-0.13482717,0.14322183,-2.480674
15,0,0.0936304,0.14832321,-0.14291558,0.009204507,-2.4977186
16,0,0.09641722,-0.15111709,0.18917128,0.15166485,2.4889812
17,0,0.13043958,-0.18450624,0.004727572,0.02045615,2.471311
18,0,0.004931435,-0.17933868,0.14028147,-0.14965044,2.4983912
19,0,0.040398404,0.19924384,-0.02322565,-0.13984469,-2.4919968
20,0,-0.107557006,0.15470922,0.010007679,-0.1444501,-2.4735115
21,0,0.108685404,-0.10228645,-0.14607272,-0.007901415,-0.9534091
22,0,0.059987992,-0.05432123,0.007960871,-0.00033453107,1.9864397
23,0,-0.09291135,0.19146743,-0.08241236,-0.037640855,-2.4980822
24,0,0.14177698,-0.12425114,0.03681621,-0.1404804,2.4824333
25,0,0.1561737,-0.18212062,0.102995425,-0.054791108,2.4933472
26,0,-0.13719088,0.14800823,0.12613472,-0.18849032,-2.2450874
27,0,0.09344831,-0.031701714,0.17552212,-0.14307156,2.292839
28,0,-0.1921216,0.029020056,-0.029403567,-0.09218388,0.6656816
29,0,0.16110477,0.16293302,-0.020793691,-0.027008325,-2.4958513
30,0,-0.025818571,0.1735884,-0.08004613,-0.038745284,-2.4964826
31,0,0.013538584,0.03309296,-0.0913505,0.09519541,-2.1509979
32,0,0.03952256,-0.14071931,-0.19027296,-0.16320293,2.3334665
33,0,-0.16193831,0.065990746,-0.081037164,0.19501746,-2.39298
34,0,-0.04673277,-0.036959752,0.16463691,0.18427244,1.857758
35,0,-0.110925935,-0.06989324,0.2057684,0.1907143,2.182128
36,0,0.17373991,-0.02903369,-0.11491034,-0.18743643,-0.29866076
37,0,-0.019991055,-0.17878093,-0.08123948,-0.16448423,2.4854774
38,0,-0.15614128,-0.09053156,-0.1693155,0.19271219,-1.4266068
39,0,-0.17056936,-0.07727568,-0.2089758,-0.044478685,1.6507459
40,0,-0.13309659,0.04238823,-0.013908938,-0.015034705,-0.5182351
41,0,-0.03604266,-0.20446327,0.15787053,0.09576115,2.4973612
42,0,-0.17941642,0.08336434,-0.111782596,0.17621881,-2.475309
43,0,0.16047063,-0.17175682,0.01697211,0.16293964,2.3831606
44,0,0.19639963,-0.20577045,-0.19456163,-0.20666684,2.4651318
45,0,-0.08610211,0.1346946,0.17039648,0.041855216,-2.4506357
46,0,0.0041849464,-0.0056914836,0.12930182,0.015535653,1.5356889
47,0,0.07910064,0.068698674,-0.087041244,0.18432733,-2.4734447
48,0,-0.15367597,-0.0016579926,-0.12432038,-0.17042461,1.9590898
49,0,-0.041252345,0.10274398,-0.11693098,-0.07254401,-2.4065807
50,0,-0.1894773,-0.010683224,-0.1959022,0.19174546,-2.2121232
51,0,0.0060082674,-0.008219361,-0.12616612,-0.018995538,-0.49114108
52,0,-0.107010715,0.18208125,0.015751973,-0.12737271,-2.4853814
53,0,0.060420513,-0.12505169,-0.19649988,-0.19880271,2.273624
54,0,-0.10740107,0.037081167,-0.038367838,0.1336807,-0.38423204
55,0,0.187192,0.091901064,0.09117317,-0.09615748,-2.3787558
56,0,-0.20434001,-0.122364424,0.16136688,-0.18359494,2.4908419
57,0,0.029923081,0.07420403,-0.13879919,0.08537647,-2.4708905
