episode,ep_return,ep_length,global_step,epsilon
0,19.712257385253906,25,6400,1.0
1,21.88695526123047,27,6912,1.0
2,21.801799774169922,27,6912,1.0
3,22.745847702026367,28,7168,1.0
4,22.614517211914062,28,7168,1.0
5,22.843347549438477,28,7168,1.0
6,22.704153060913086,28,7168,1.0
7,22.594600677490234,28,7168,1.0
8,23.572525024414062,29,7424,1.0
9,23.768217086791992,29,7424,1.0
10,23.95293617248535,29,7424,1.0
11,24.82820701599121,30,7680,1.0
12,24.71317481994629,30,7680,1.0
13,24.489328384399414,30,7680,1.0
14,24.6164493560791,30,7680,1.0
15,24.527938842773438,30,7680,1.0
16,24.742149353027344,30,7680,1.0
17,24.777442932128906,30,7680,1.0
18,24.619346618652344,30,7680,1.0
19,24.777877807617188,30,7680,1.0
20,25.52445411682129,31,7936,1.0
21,25.37196922302246,31,7936,1.0
22,25.694869995117188,31,7936,1.0
23,25.466432571411133,31,7936,1.0
24,25.391084671020508,31,7936,1.0
25,26.435232162475586,32,8192,1.0
26,26.40471649169922,32,8192,1.0
27,26.378183364868164,32,8192,1.0
28,26.479978561401367,32,8192,1.0
29,26.286924362182617,32,8192,1.0
30,26.7546329498291,32,8192,1.0
31,26.275800704956055,32,8192,1.0
32,27.230669021606445,33,8448,1.0
33,27.735544204711914,33,8448,1.0
34,27.844703674316406,33,8448,1.0
35,27.952259063720703,33,8448,1.0
36,27.77153205871582,33,8448,1.0
37,27.55258560180664,33,8448,1.0
38,27.694669723510742,33,8448,1.0
39,27.35760498046875,33,8448,1.0
40,27.781612396240234,33,8448,1.0
41,27.451080322265625,33,8448,1.0
42,27.447673797607422,33,8448,1.0
43,28.91870880126953,34,8704,1.0
44,28.695201873779297,34,8704,1.0
45,28.310897827148438,34,8704,1.0
46,28.909273147583008,34,8704,1.0
47,28.452791213989258,34,8704,1.0
48,29.439661026000977,35,8960,1.0
49,29.63166046142578,35,8960,1.0
50,29.620460510253906,35,8960,1.0
51,29.784175872802734,35,8960,1.0
52,29.436941146850586,35,8960,1.0
53,29.2158260345459,35,8960,1.0
54,29.78220558166504,35,8960,1.0
55,29.584789276123047,35,8960,1.0
56,30.309490203857422,36,9216,1.0
57,30.34669303894043,36,9216,1.0
58,30.57267951965332,36,9216,1.0
59,30.410083770751953,36,9216,1.0
60,30.459514617919922,36,9216,1.0
61,30.22249412536621,36,9216,1.0
62,30.32815933227539,36,9216,1.0
63,30.527667999267578,36,9216,1.0
64,30.304758071899414,36,9216,1.0
65,30.357534408569336,36,9216,1.0
66,31.827774047851562,37,9472,1.0
67,31.296974182128906,37,9472,1.0
68,32.181034088134766,38,9728,1.0
69,32.75209426879883,38,9728,1.0
70,32.59697723388672,38,9728,1.0
71,32.69638442993164,38,9728,1.0
72,32.70110321044922,38,9728,1.0
73,33.408966064453125,39,9984,1.0
74,33.372283935546875,39,9984,1.0
75,33.65882110595703,39,9984,1.0
76,33.63231658935547,39,9984,1.0
77,33.234703063964844,39,9984,1.0
78,33.52411651611328,39,9984,1.0
79,33.880794525146484,39,9984,1.0
80,33.479251861572266,39,9984,1.0
81,34.546573638916016,40,10240,1.0
82,34.823997497558594,40,10240,1.0
83,34.735992431640625,40,10240,1.0
84,34.31012725830078,40,10240,1.0
85,34.5234489440918,40,10240,1.0
86,34.660274505615234,40,10240,1.0
87,34.18309783935547,40,10240,1.0
88,34.29068374633789,40,10240,1.0
89,34.401145935058594,40,10240,1.0
90,35.52783966064453,41,10496,1.0
91,35.27572250366211,41,10496,1.0
92,35.70677185058594,41,10496,1.0
93,35.67724609375,41,10496,1.0
94,35.93470001220703,41,10496,1.0
95,35.65563201904297,41,10496,1.0
96,35.51921844482422,41,10496,1.0
97,35.038238525390625,41,10496,1.0
98,36.535152435302734,42,10752,1.0
99,35.8394889831543,42,10752,1.0
100,36.49917221069336,42,10752,1.0
101,36.572269439697266,42,10752,1.0
102,36.12843704223633,42,10752,1.0
103,36.806732177734375,42,10752,1.0
104,37.15249252319336,43,11008,1.0
105,37.34920120239258,43,11008,1.0
106,37.86874771118164,43,11008,1.0
107,37.987815856933594,43,11008,1.0
108,38.115806579589844,43,11008,1.0
109,37.66361618041992,43,11008,1.0
110,38.610111236572266,44,11264,1.0
111,38.83219909667969,44,11264,1.0
112,38.90705871582031,44,11264,1.0
