update_step,actor_loss,critic_loss,entropy
0,-0.10342921316623688,1.8875972032546997,
1,,1.8702375888824463,
2,-0.2022840976715088,1.5283931493759155,
3,,1.58141028881073,
4,-0.3047942519187927,1.1781806945800781,
5,,1.13442063331604,
6,-0.4119753837585449,1.2339223623275757,
7,,1.1922246217727661,
8,-0.502859354019165,1.055202603340149,
9,,0.8133547306060791,
10,-0.5917128920555115,0.6504108905792236,
11,,0.650713324546814,
12,-0.6964192986488342,0.8996303081512451,
13,,0.5394314527511597,
14,-0.7788698673248291,0.4323994517326355,
15,,0.6531389355659485,
16,-0.8766213059425354,0.5330208539962769,
17,,0.7869967818260193,
18,-0.9441773891448975,0.0679292306303978,
19,,0.5884774923324585,
20,-1.0214481353759766,0.32255256175994873,
21,,0.8074432611465454,
22,-1.0695359706878662,0.22185450792312622,
23,,0.22396889328956604,
24,-1.0880485773086548,0.1294112652540207,
25,,0.5242958068847656,
26,-1.1084892749786377,0.596289873123169,
27,,0.49979522824287415,
28,-1.1040681600570679,0.11793649196624756,
29,,0.5927735567092896,
30,-1.101720929145813,0.2170911431312561,
31,,0.5727324485778809,
32,-1.0787208080291748,0.1937403380870819,
33,,0.7209639549255371,
34,-1.049400806427002,0.2762606739997864,
35,,0.3508884310722351,
36,-1.0352568626403809,0.27031946182250977,
37,,0.18478044867515564,
38,-1.0144214630126953,0.2634386718273163,
39,,0.5087761878967285,
40,-1.000364899635315,0.32703709602355957,
41,,0.33561384677886963,
42,-0.9929959774017334,0.4143572449684143,
43,,0.17221176624298096,
44,-0.9943565130233765,0.25300490856170654,
45,,0.1066792756319046,
46,-1.0035914182662964,0.24584245681762695,
47,,0.3245137929916382,
48,-1.0196361541748047,0.8395527005195618,
49,,0.09349751472473145,
50,-1.0309972763061523,0.24557431042194366,
51,,0.09574625641107559,
52,-1.051655888557434,0.23375725746154785,
53,,0.30424368381500244,
54,-1.0651895999908447,0.5296334624290466,
55,,0.1775498390197754,
56,-1.085198998451233,0.15727096796035767,
57,,0.22803625464439392,
58,-1.100935935974121,0.07566538453102112,
59,,0.14731912314891815,
60,-1.1132891178131104,0.2981158494949341,
61,,0.3072584867477417,
62,-1.1159833669662476,0.5385543704032898,
63,,0.15430845320224762,
64,-1.1103641986846924,0.7239292860031128,
65,,0.22006094455718994,
66,-1.105311393737793,0.377348393201828,
67,,0.5286035537719727,
68,-1.0942933559417725,0.22429798543453217,
69,,0.3663850426673889,
70,-1.0799121856689453,0.6506174802780151,
71,,0.44530123472213745,
72,-1.0605286359786987,0.3643408417701721,
73,,0.4344836473464966,
74,-1.062517523765564,0.36670535802841187,
75,,0.2933581471443176,
76,-1.068518877029419,0.4268385171890259,
77,,0.28916603326797485,
78,-1.0732803344726562,0.17467164993286133,
79,,0.4868362545967102,
80,-1.0962719917297363,0.22852081060409546,
81,,0.16362830996513367,
82,-1.1257215738296509,0.1633979082107544,
83,,0.16016200184822083,
84,-1.1436935663223267,0.4903375804424286,
85,,0.4829018712043762,
86,-1.1590807437896729,0.35871994495391846,
87,,0.3538060486316681,
88,-1.1508604288101196,0.34362727403640747,
89,,0.6284503936767578,
90,-1.1486845016479492,0.16206210851669312,
91,,0.33386528491973877,
92,-1.1381639242172241,0.3053739070892334,
93,,0.36808016896247864,
94,-1.1288957595825195,0.42272645235061646,
95,,0.29644280672073364,
96,-1.1387875080108643,0.16667085886001587,
97,,0.6260664463043213,
98,-1.138930320739746,0.3282954692840576,
99,,0.2784668803215027,
100,-1.1213140487670898,0.41250964999198914,
101,,0.24205225706100464,
102,-1.1470898389816284,0.3023924231529236,
103,,0.4147929251194,
104,-1.1427892446517944,0.2885565161705017,
105,,0.3528645634651184,
106,-1.1550425291061401,0.3355092704296112,
107,,0.4101279377937317,
108,-1.1536837816238403,0.18275046348571777,
109,,0.49588969349861145,
110,-1.1584522724151611,0.47345414757728577,
111,,0.22413015365600586,
112,-1.1742191314697266,0.23452728986740112,
113,,0.11745406687259674,
114,-1.2129240036010742,0.10072063654661179,
115,,0.4474218487739563,
116,-1.211445689201355,0.3485095202922821,
117,,0.21730661392211914,
118,-1.2174935340881348,0.36495646834373474,
119,,0.5053361654281616,
120,-1.2131338119506836,0.3491186499595642,
121,,0.16130182147026062,
122,-1.2176408767700195,0.22374123334884644,
123,,0.35855966806411743,
124,-1.2253347635269165,0.22680488228797913,
125,,0.2925410568714142,
126,-1.211379051208496,0.16520245373249054,
127,,0.09639543294906616,
128,-1.2186261415481567,0.44247663021087646,
129,,0.5104304552078247,
130,-1.224496603012085,0.286383718252182,
131,,0.30703580379486084,
132,-1.2146724462509155,0.6327897310256958,
133,,0.5572128891944885,
134,-1.2072017192840576,0.2840035557746887,
135,,0.2970111072063446,
136,-1.1957449913024902,0.5226386785507202,
137,,0.22483336925506592,
138,-1.1950185298919678,0.3166343569755554,
139,,0.34836918115615845,
140,-1.2165989875793457,0.39944010972976685,
141,,0.24912968277931213,
142,-1.220470666885376,0.3565276265144348,
143,,0.25986579060554504,
144,-1.247537612915039,0.35573676228523254,
145,,0.36365413665771484,
146,-1.2601101398468018,0.431506484746933,
147,,0.19664834439754486,
148,-1.2833406925201416,0.17332743108272552,
149,,0.22010013461112976,
150,-1.295487880706787,0.43376001715660095,
151,,0.2996752858161926,
152,-1.2986536026000977,0.3628307580947876,
153,,0.2983856797218323,
154,-1.2865493297576904,0.49770545959472656,
155,,0.4400259852409363,
156,-1.2846007347106934,0.2876904308795929,
157,,0.34012091159820557,
158,-1.2700740098953247,0.2742859423160553,
159,,0.36572545766830444,
160,-1.253202199935913,0.43846482038497925,
161,,0.06946401298046112,
162,-1.2736456394195557,0.3466036021709442,
163,,0.42631012201309204,
164,-1.2872589826583862,0.36040055751800537,
165,,0.17380225658416748,
166,-1.3110954761505127,0.42955824732780457,
167,,0.6840317249298096,
168,-1.3118999004364014,0.4053690433502197,
169,,0.22757788002490997,
170,-1.3076229095458984,0.31038159132003784,
171,,0.40519842505455017,
172,-1.3210140466690063,0.22591444849967957,
173,,0.5001011490821838,
174,-1.3167333602905273,0.40444856882095337,
175,,0.4193190932273865,
176,-1.3190953731536865,0.2893323302268982,
177,,0.1881641298532486,
178,-1.3382543325424194,0.4005148410797119,
179,,0.3603113293647766,
180,-1.3471050262451172,0.34094059467315674,
181,,0.09707287698984146,
182,-1.3509469032287598,0.2618604898452759,
183,,0.23377597332000732,
184,-1.3749115467071533,0.2622082531452179,
185,,0.30136555433273315,
186,-1.3807387351989746,0.2415357232093811,
187,,0.42713451385498047,
188,-1.3770314455032349,0.6230185031890869,
189,,0.170872300863266,
190,-1.3577836751937866,0.4687788486480713,
191,,0.16644077003002167,
192,-1.3555505275726318,0.30203545093536377,
193,,0.3187970519065857,
194,-1.367755651473999,0.18216225504875183,
195,,0.30386611819267273,
196,-1.390125036239624,0.34849244356155396,
197,,0.3545272946357727,
198,-1.4109381437301636,0.49520665407180786,
199,,0.5564484596252441,
200,-1.4063961505889893,0.23752489686012268,
201,,0.6028205752372742,
202,-1.3921478986740112,0.2447541356086731,
203,,0.29427164793014526,
204,-1.3869832754135132,0.5115230083465576,
205,,0.48183727264404297,
206,-1.3985118865966797,0.28557899594306946,
207,,0.4049610495567322,
208,-1.3865323066711426,0.41377079486846924,
209,,0.5465508699417114,
210,-1.4120298624038696,0.13466782867908478,
211,,0.4499783515930176,
212,-1.4050853252410889,0.4893920421600342,
213,,0.41863542795181274,
214,-1.45148766040802,0.1773805022239685,
215,,0.49992436170578003,
216,-1.4503403902053833,0.3257790803909302,
217,,0.5756489038467407,
218,-1.442955732345581,0.40351638197898865,
219,,0.11439250409603119,
220,-1.4459593296051025,0.31287288665771484,
221,,0.20282694697380066,
222,-1.4654278755187988,0.2229720652103424,
223,,0.10721705853939056,
224,-1.5054512023925781,0.1644045114517212,
225,,0.2959904074668884,
226,-1.5048182010650635,0.36438143253326416,
227,,0.5687710046768188,
228,-1.4988486766815186,0.2939266264438629,
229,,0.4678416848182678,
230,-1.4535859823226929,0.43525397777557373,
231,,0.4086395800113678,
232,-1.4356584548950195,0.29752326011657715,
233,,0.4171350598335266,
234,-1.435742974281311,0.6315978765487671,
235,,0.17402371764183044,
236,-1.4410525560379028,0.5133469104766846,
237,,0.2530651092529297,
238,-1.4512696266174316,0.5153847932815552,
239,,0.46981221437454224,
240,-1.4923794269561768,0.15699386596679688,
241,,0.17886202037334442,
242,-1.5187232494354248,0.1899895966053009,
243,,0.5411586165428162,
244,-1.532517910003662,0.3183554410934448,
245,,0.28012901544570923,
246,-1.5314624309539795,0.37346479296684265,
247,,0.433063805103302,
248,-1.5405898094177246,0.16115742921829224,
249,,0.48181208968162537,
250,-1.5274121761322021,0.46224087476730347,
251,,0.2598196864128113,
252,-1.5001907348632812,0.4741551876068115,
253,,0.4391855001449585,
254,-1.4887120723724365,0.6012427806854248,
255,,0.4183039665222168,
256,-1.457259178161621,0.45308029651641846,
257,,0.29063302278518677,
258,-1.4840502738952637,0.3105050027370453,
259,,0.27101147174835205,
260,-1.5144340991973877,0.30519479513168335,
261,,0.3288247287273407,
262,-1.5515023469924927,0.41208019852638245,
263,,0.1588858962059021,
264,-1.5526320934295654,0.6700222492218018,
265,,0.19924017786979675,
266,-1.5249738693237305,0.39480364322662354,
267,,0.256440132856369,
268,-1.5333244800567627,0.30418527126312256,
269,,0.3698877692222595,
270,-1.5210057497024536,0.3257203698158264,
271,,0.3354838490486145,
272,-1.51446533203125,0.38616180419921875,
