episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20
1,13,14,0.3282160758972168,0.39860209822654724,1.6864980459213257,3.0158581733703613,0,3,2,24,2,-4.0,9.832192838191986,0.993519464294648,0.0,0.0,-0.1090778112411499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15,16,0.26023852825164795,0.41187039017677307,1.0889679193496704,2.2621071338653564,0,3,1,18,7,-1.5,11.405165493488312,0.9925261932102195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10940202474594117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044133642315864564,0.0,0.0,0.0
3,15,16,-0.10438709706068039,-0.40393853187561035,-1.3639453649520874,-2.6012189388275146,0,-3,-1,-21,16,3.0,11.76510864496231,0.9925261932102195,0.0,0.0,0.0,0.0,0.043819001317024237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10916212797164918,0.0,0.0,0.0,0.0
4,16,17,-0.08934467285871506,-0.3953198194503784,-1.3865584135055542,-2.6727044582366943,0,-3,-1,-21,6,-2.0,12.685459673404694,0.9920299301136144,0.0,0.0,0.0,0.0,0.043819001317024237,0.0,-0.10894306898117066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10916212797164918,0.0,0.0,0.0,0.0
5,17,18,0.045795269310474396,0.41541674733161926,0.376136839389801,1.322798728942871,0,3,0,11,3,-3.5,13.25950014591217,0.9915339151485576,0.0,0.0,0.0,-0.10912204980850221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,17,18,0.23619461059570312,0.4169699251651764,1.0733522176742554,2.285816192626953,0,3,1,18,19,4.5,13.418597400188446,0.9915339151485576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10940202474594117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044133642315864564,0.0,-0.10978121757507325,0.0
7,19,20,0.28534796833992004,0.41053658723831177,0.5555169582366943,1.6346328258514404,0,3,1,13,8,-1.0,15.142532408237457,0.990542629116888,0.0,0.0,0.0,0.0,0.04434518218040467,0.0,0.0,0.0,-0.10910063982009888,0.08161619871854783,0.04314664006233215,0.0,0.0,0.0,0.043452864885330206,0.0,0.04329728782176972,0.04408206343650818,0.0,0.0,0.04240952134132386
8,19,20,0.21798616647720337,0.40878960490226746,1.004601240158081,2.247631072998047,0,3,1,18,10,0.0,15.295528531074524,0.990542629116888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05619367718696595,0.0,0.0,-0.10930024385452271,0.0,0.0,0.0,0.0,0.0,0.0,0.044133642315864564,0.0,-0.10978121757507325,0.0
9,20,21,0.25859731435775757,0.411859929561615,0.5806211233139038,1.6724804639816284,0,3,1,13,19,4.5,16.26885062456131,0.9900473578023296,0.0,0.0,0.0,0.0,0.04434518218040467,0.0,0.0,0.0,-0.10910063982009888,0.08161619871854783,0.04314664006233215,0.0,0.0,0.0,0.043452864885330206,0.0,0.04329728782176972,0.04408206343650818,0.0,-0.1093036413192749,0.04240952134132386
10,20,21,0.14267794787883759,0.40670907497406006,1.0233800411224365,2.333606481552124,0,3,1,19,8,-1.0,16.109003484249115,0.9900473578023296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043695616722106936,-0.10922298431396485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04231758713722229,0.0
11,20,21,-0.16697952151298523,-0.4144339859485626,-1.4509220123291016,-2.895540237426758,0,-3,-1,-23,15,2.5,16.508431434631348,0.9900473578023296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10975697040557862,0.0,0.0,0.0,0.0,0.0
12,21,22,-0.309707909822464,-0.4068281352519989,-0.7545279860496521,-1.9113215208053589,0,-3,-1,-15,6,-2.0,17.30716109275818,0.9895523341234285,0.0,0.0,0.0,0.0,0.0,0.043953281641006474,-0.10912600755691529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04196822643280029
13,21,22,0.14923125505447388,0.40545523166656494,1.191729187965393,2.564215898513794,0,3,1,21,20,5.0,17.22002238035202,0.9895523341234285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043175244331359865,0.0,0.0,0.0,0.0,-0.10940741300582886
14,22,23,0.15933868288993835,0.40864989161491394,0.7990249395370483,1.9811171293258667,0,3,1,16,3,-3.5,18.409218072891235,0.9890575579563669,0.0,0.04246979355812073,0.0,-0.10910217761993408,0.0,0.0,0.0,0.043840315937995915,0.0,0.0,0.04332346022129059,0.0,0.0,0.0,0.08528909087181091,0.0,0.08642883300781251,0.0,0.043300220370292665,0.0,0.0
15,22,23,-0.06635760515928268,-0.416359543800354,-1.3265066146850586,-2.7655012607574463,0,-3,-1,-22,13,1.5,18.31632423400879,0.9890575579563669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10981266498565674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,22,23,-0.27614647150039673,-0.41808709502220154,-0.7275277376174927,-1.9439454078674316,0,-3,-1,-16,18,4.0,18.109523713588715,0.9890575579563669,0.0,0.0,0.04410766959190369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1094841480255127,0.0,0.044416993856430054
17,22,23,-0.14154112339019775,-0.3926353454589844,-1.1891653537750244,-2.584657669067383,0,-3,-1,-21,2,-4.0,18.299261510372162,0.9890575579563669,0.0,0.0,-0.10884486436843872,0.0,0.043819001317024237,0.0,-0.10894306898117066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10916212797164918,0.0,0.0,0.0,0.0
18,22,23,0.2565873861312866,0.4048943817615509,0.9557809233665466,2.179469585418701,0,3,1,17,16,3.0,18.52503204345703,0.9890575579563669,0.0,0.0,0.041518568992614746,0.04298933446407319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043237227201461795,0.04164455235004425,0.04151813387870789,0.0,0.04371787309646607,-0.10917627811431885,0.0,0.0,0.0,0.04178029894828797
19,22,23,-0.31333133578300476,-0.4127297103404999,-1.0991054773330688,-2.423311233520508,0,-3,-1,-19,14,2.0,18.35682988166809,0.9890575579563669,0.0,0.04133223295211792,0.0,0.0,0.0,0.0441579282283783,0.04229187369346619,0.0,0.0,0.0,0.0423818051815033,0.0,0.0,0.04329541921615601,-0.10949685573577882,0.0,0.0,0.0,0.0,0.0,0.0
20,22,23,-0.27836209535598755,-0.40424400568008423,-0.4570140838623047,-1.5727273225784302,0,-3,0,-13,11,0.5,18.085455119609833,0.9890575579563669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10882176160812379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22,23,0.07591015100479126,0.3925032615661621,1.4026072025299072,2.746732473373413,0,3,1,22,12,1.0,18.75407475233078,0.9890575579563669,0.04180302917957306,0.0,0.041306799650192266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10883116722106934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,23,24,-0.1312938779592514,-0.4082735478878021,0.07508091628551483,-0.8618273735046387,0,-3,0,-7,2,-4.0,18.949588358402252,0.9885630291773887,0.0,0.08853541314601898,-0.06950463026762008,0.0,0.0,0.0,0.04239773750305176,0.0,0.0,0.0,0.0,0.0,0.0,0.046034780749678615,0.042605033516883856,0.08875672519207001,0.0445350706577301,0.0,0.0,0.08911607265472413,0.04316928684711457
23,23,24,-0.08759890496730804,0.40827709436416626,0.4765011668205261,1.6808444261550903,0,3,0,13,14,2.0,18.814642369747162,0.9885630291773887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10909659862518312,0.0,0.0,0.0,0.0,0.0,0.0
24,23,24,0.26783430576324463,0.40218570828437805,0.8447873592376709,2.117922306060791,0,3,1,17,3,-3.5,19.204637706279755,0.9885630291773887,0.0,0.0,0.041518568992614746,-0.07019342094659806,0.0,0.04249978661537171,0.0,0.0,0.0,0.0,0.0,0.043237227201461795,0.04164455235004425,0.04151813387870789,0.0,0.04371787309646607,-0.10917627811431885,0.0,0.0,0.0,0.04178029894828797
25,24,25,0.022500263527035713,-0.4091147780418396,-0.23113185167312622,-1.3721776008605957,0,-3,0,-11,19,4.5,19.711951553821564,0.9880687476628001,0.04126016199588776,0.0,0.0,0.043071457743644716,0.043108400702476506,0.0,0.0,0.0,0.0,0.0,0.04290132820606232,0.047973312434554105,0.04325855374336243,0.09024676845669746,0.08772095739841462,0.043878558278083804,0.04320101141929627,0.0,0.0,-0.10885481834411621,0.0
26,24,25,-0.0820745974779129,-0.4146961569786072,-0.13461081683635712,-1.221848726272583,0,-3,0,-10,3,-3.5,19.726901829242706,0.9880687476628001,0.04435569643974305,0.0,0.0,-0.025340145826339727,0.042705258727073675,0.0,0.0,0.0,0.0,0.04457904398441315,0.0,0.0,0.041401353478431706,0.0,0.0,0.0,0.08721329867839814,0.08570785315632821,0.08651163876056672,0.04278250336647034,0.04354202747344971
27,24,25,-0.19519570469856262,-0.409344345331192,-0.8463987112045288,-2.1276049613952637,0,-3,-1,-17,2,-4.0,20.155646443367004,0.9880687476628001,0.0,0.0,-0.10937223434448243,0.04325301945209503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12579343169927598,0.0,0.0
28,24,25,0.06868217885494232,-0.40817368030548096,-0.7432897090911865,-2.0851778984069824,0,-3,-1,-17,14,2.0,19.8387953042984,0.9880687476628001,0.0,0.0,-0.10937223434448243,0.04325301945209503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1091628909111023,0.0,0.0,0.0,0.12579343169927598,0.0,0.0
29,24,25,0.24595101177692413,0.4042283892631531,0.495070219039917,1.6789222955703735,0,3,0,13,14,2.0,20.08358061313629,0.9880687476628001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2071103382110596,0.0,0.0,0.0,0.0,0.0,0.0
30,24,25,0.013299910351634026,-0.4130381643772125,-0.07901179045438766,-1.1327778100967407,0,-3,0,-9,16,3.0,19.78290468454361,0.9880687476628001,0.04299778640270233,0.0,0.0,0.0,0.04853013495206833,0.0,0.04345380663871765,0.043655875325202945,0.0,0.041912919282913214,0.08868788778781891,0.0447318434715271,0.0,0.0431589812040329,0.088854518532753,0.0,-0.06444832682609558,0.08976505595862866,0.08765679001808167,0.0,0.04415788054466248
31,25,26,-9.525163477519527e-05,0.40689900517463684,0.7463554739952087,2.036465883255005,0,3,1,16,13,1.5,21.146075785160065,0.9875747132889687,0.0,0.04246979355812073,0.0,-0.10910217761993408,0.0,0.0,0.0,0.043840315937995915,0.0,0.0,0.04332346022129059,0.0,0.0,-0.10917059183120728,0.08528909087181091,0.0,0.08642883300781251,0.0,0.043300220370292665,0.0,0.0
32,25,26,-0.2998318076133728,-0.4185899496078491,-0.7858374714851379,-2.040076971054077,0,-3,-1,-16,10,0.0,21.124568283557892,0.9875747132889687,0.0,0.0,0.04410766959190369,0.0,0.0,0.0,0.0,0.0,0.0,0.04983732801228762,-0.067146897315979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1094841480255127,0.0,0.044416993856430054
33,25,26,-0.0039426414296031,-0.4080163836479187,-0.34703999757766724,-1.4739004373550415,0,-3,0,-12,7,-1.5,20.952189207077026,0.9875747132889687,0.0,0.0,0.04443427920341492,0.0,0.04396434724330903,0.0,0.0,-0.10898914337158204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04191526770591736
34,26,27,-0.2192254215478897,-0.4063121974468231,-0.5461488366127014,-1.8360110521316528,0,-3,-1,-15,16,3.0,21.781202018260956,0.9870809259323243,0.03237967565059662,0.04402864575386048,0.0,0.0,0.0,0.043953281641006474,-0.10912600755691529,0.0,0.0,0.0,0.0,0.04398177862167359,0.08785080611705781,0.0,0.0,0.04424335062503815,-0.10895894765853882,0.0,0.0,0.04864310174882412,0.04196822643280029
35,26,27,-0.3051608204841614,-0.4097638726234436,-0.16003179550170898,-1.2660174369812012,0,-3,0,-10,13,1.5,21.85084730386734,0.9870809259323243,0.08610121607780458,0.0,0.0,-0.025340145826339727,0.08061737209558488,0.0,0.04362437129020691,0.0,0.04320943951606751,0.04457904398441315,0.0,0.0,0.08095159560441972,-0.1089094877243042,0.0445280134677887,0.0,0.08721329867839814,0.08570785315632821,0.08651163876056672,0.11672823476791383,0.04354202747344971
36,26,27,0.1664634495973587,0.404523104429245,0.6094951629638672,1.9207483530044556,0,3,1,15,18,4.0,21.805176436901093,0.9870809259323243,0.04344733357429505,0.04331926107406617,0.0,0.0,0.0,0.08613579273223877,0.0,0.043602779507637024,0.0,0.0,0.08223062217235566,0.0,0.04354254007339478,0.0,0.08141766399145126,0.04271326959133148,0.0,0.0,-0.1090825080871582,0.0417293906211853,0.0
37,26,27,-0.25787559151649475,-0.39666464924812317,-1.0930026769638062,-2.4527764320373535,0,-3,-1,-20,10,0.0,22.463615596294403,0.9870809259323243,0.0,0.04399105608463288,0.0,0.0,0.0,0.0,0.0,0.041841682791709904,0.0,0.0,-0.10886741876602174,0.04328536689281464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04314164221286774
38,27,28,0.15447115898132324,0.4047946333885193,1.8430371284484863,3.2030367851257324,0,3,2,26,6,-2.0,23.772976577281952,0.9865873854693582,0.0,0.0,0.0,0.0,0.0,0.0,-0.10946948528289796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,28,29,-0.09550564736127853,-0.41635286808013916,-0.04798491299152374,-1.2157849073410034,0,-3,0,-10,0,-5.0,23.493556141853333,0.9860940917766235,-0.02766015589237214,0.0,0.0,0.013510162830352779,0.08061737209558488,0.0,0.04362437129020691,0.0,0.08217631816864016,0.04457904398441315,0.0,0.0,0.08095159560441972,-0.1089094877243042,0.0445280134677887,0.0,0.08721329867839814,0.08570785315632821,0.08651163876056672,0.11672823476791383,0.04354202747344971
40,28,29,0.041393473744392395,-0.4147786796092987,-0.04370599240064621,-1.1031831502914429,0,-3,0,-9,10,0.0,23.863600492477417,0.9860940917766235,0.04299778640270233,0.04189541041851044,0.0,0.0,0.04853013495206833,0.08358203768730163,0.04345380663871765,0.08743986189365388,0.0,0.041912919282913214,-0.02481498628854753,0.0447318434715271,0.0,0.08741006610691548,0.088854518532753,0.0,-0.06444832682609558,0.1594892223850906,0.08765679001808167,0.0,0.04415788054466248
41,28,29,-0.005119574721902609,0.4109359085559845,0.3035716712474823,1.4028165340423584,0,3,0,11,0,-5.0,24.134095907211304,0.9860940917766235,-0.10893136262893677,0.044036710262298585,0.0,-0.10912204980850221,0.0,0.0,0.0,0.04279793202877045,0.09041526140570641,0.0,0.04392296671867371,0.0,0.0,0.04291406273841858,0.04404840469360352,0.0,0.04653847300708294,0.0,0.04399876594543457,0.0,0.0
42,28,29,-0.190005823969841,-0.39546164870262146,-1.1617025136947632,-2.6503090858459473,0,-3,-1,-21,13,1.5,24.38389813899994,0.9860940917766235,0.0,0.0,-0.10884486436843872,0.0,0.043819001317024237,0.0,-0.10894306898117066,0.0,0.0,0.0,0.0,0.0,0.0,-0.10886231660842896,0.0,0.0,-0.10916212797164918,0.0,0.0,0.0,0.0
43,28,29,0.2384689748287201,0.4111114740371704,0.7285943031311035,1.8531322479248047,0,3,1,15,11,0.5,24.50749319791794,0.9860940917766235,0.04344733357429505,0.04331926107406617,0.0,0.0,0.0,0.08613579273223877,0.0,0.043602779507637024,0.0,0.0,0.08223062217235566,-0.10924994945526123,0.04354254007339478,0.0,0.08141766399145126,0.04271326959133148,0.0,0.0,-0.1090825080871582,0.0417293906211853,0.0
44,28,29,0.34373486042022705,0.40773794054985046,1.5699677467346191,2.9775354862213135,0,3,2,24,6,-2.0,24.703533709049225,0.9860940917766235,0.0,0.0,-0.055379283428192136,0.0,0.0,0.0,-0.10950721502304078,0.0,0.04229705929756165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04180706143379212,0.0,0.0,0.0,0.0
45,28,29,0.07907356321811676,-0.3969114124774933,-1.0081442594528198,-2.557751417160034,0,-3,-1,-20,15,2.5,23.827447295188904,0.9860940917766235,0.0,0.04399105608463288,0.0,0.0,0.0,0.0,0.0,0.07983802288770676,0.0,0.0,-0.10886741876602174,0.04328536689281464,0.0,0.0,0.0,-0.1088648557662964,0.0,0.0,0.0,0.0,0.04314164221286774
46,28,29,-0.04003671929240227,0.40918245911598206,0.4504474997520447,1.752608060836792,0,3,0,14,6,-2.0,23.76111537218094,0.9860940917766235,0.0,0.0,0.0,0.0,0.0,0.0,-0.10907170772552491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,28,29,0.3513553738594055,0.4159049987792969,1.2650501728057861,2.6268012523651123,0,3,1,21,18,4.0,24.584997057914734,0.9860940917766235,0.0,0.0,0.0,0.0,0.0,0.0,0.04333291649818421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043175244331359865,0.0,0.0,-0.10986720323562622,0.0,-0.026956111192703247
48,28,29,-0.1859503537416458,-0.40666037797927856,-0.42130547761917114,-1.7243345975875854,0,-3,0,-14,0,-5.0,23.77471089363098,0.9860940917766235,-0.10911846160888672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,28,29,0.24034464359283447,0.4037250876426697,0.7300769686698914,1.9376918077468872,0,3,1,16,19,4.5,24.356072664260864,0.9860940917766235,0.0,0.04246979355812073,0.0,-0.05497235178947448,0.0,0.0,0.0,0.09079487406909467,0.0,0.0,0.04332346022129059,0.0,0.0,-0.10917059183120728,0.08528909087181091,0.0,0.08642883300781251,0.0,0.043300220370292665,-0.10906469821929932,0.0
