episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20
1,13,14,0.2314765304327011,0.4083857536315918,1.2408891916275024,2.3976762294769287,0,3,1,19,3,-3.5,9.691465675830841,1.0,0.0,0.0,0.0,-0.21851563453674316,0.0,0.087566477060318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16,17,-0.054144542664289474,0.41141700744628906,0.1610293984413147,0.9687747359275818,0,3,0,8,14,2.0,12.467092275619507,0.9995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21787242889404299,0.0,0.0,0.0,0.0,0.0,0.0
3,16,17,-0.12052594125270844,-0.4060259461402893,-0.7478907108306885,-1.7780156135559082,0,-3,-1,-14,8,-1.0,12.562536895275116,0.9990002500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2180236577987671,0.0,0.0,0.0,0.0,0.08549737334251405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16,17,-0.17016826570034027,-0.4009489417076111,-0.9240717887878418,-2.0260226726531982,0,-3,-1,-16,12,1.0,12.56740516424179,0.9985007498750001,0.0,0.0,0.08717036247253418,0.0,0.0,0.0,0.0,0.0,0.08502709865570068,0.0,0.0,0.0,-0.2176999568939209,0.0,0.0,0.08351429700851441,0.0,0.0,0.0,0.08789472579956055,0.0
5,17,18,0.3024996519088745,0.40501970052719116,0.7654825448989868,1.79397451877594,0,3,1,14,18,4.0,13.743572294712067,0.9980014995000627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0884429395198822,0.0,0.08768320679664612,0.0,0.0,0.0,0.0,0.0,0.0,0.08625980615615846,-0.21809253692626954,0.0,0.0
6,18,19,-0.1465938836336136,-0.4048445224761963,-0.7365012764930725,-1.7587027549743652,0,-3,-1,-14,20,5.0,14.712518572807312,0.9975024987503127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2180236577987671,0.0,0.0,0.08898882269859315,0.0,0.08549737334251405,0.0,0.0,0.0,0.0,0.0,0.0,-0.21762609481811523
7,18,19,0.29392799735069275,0.41462579369544983,0.7687114477157593,1.8971339464187622,0,3,1,15,13,1.5,14.29148930311203,0.9970037475009376,0.16837499737739564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08890329003334047,0.0,0.0,0.0,0.0,-0.21888782978057864,0.0,0.086509507894516,0.0,0.0,0.0,0.08855403661727906,0.0945474534213543
8,18,19,0.2755848467350006,0.3984091281890869,0.9417808055877686,2.1211979389190674,0,3,1,17,13,1.5,14.424392998218536,0.9965052456271871,0.17420406842827799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21768221855163575,0.0,0.0,0.0845203459262848,0.0,0.0,0.08528811931610109,0.0
9,18,19,-0.17717128992080688,-0.40421056747436523,-0.4902830421924591,-1.5083073377609253,0,-3,0,-12,11,0.5,14.2098308801651,0.9960069930043736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21758532524108887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,19,20,0.10419102013111115,0.4138489067554474,0.13147318363189697,1.0248292684555054,0,3,0,8,17,3.5,15.219985485076904,0.9955089895078715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08714394569396973,0.0,0.0,0.0,0.08636149168014527,0.0,-0.21787242889404299,0.0,0.0,-0.21819837093353273,0.0,0.0,0.0
