episode,step,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1
0,0,0.13649877905845642,-0.12030722945928574,0.0,-0.0,0,-1,0,0,0,-10.0,0.9838682413101196,1.0,0.04919341206550598,0.0
0,1,0.13221265375614166,-0.1270107924938202,-0.7512707710266113,-1.1692309379577637,0,-1,-1,-9,0,-10.0,0.9790013432502747,0.9999,0.04895006716251374,0.0
0,2,0.12073993682861328,-0.14490914344787598,-1.4451838731765747,-2.2505815029144287,0,-1,-1,-18,1,10.0,0.9743149280548096,0.9998000100000001,0.0,0.048715746402740484
0,3,0.11107949912548065,-0.1602657586336136,-0.6015533208847046,-0.9853833317756653,0,-1,-1,-8,0,-10.0,0.9688766002655029,0.9997000299990001,0.04844383001327515,0.0
0,4,0.10104833543300629,-0.17641834914684296,-1.3046773672103882,-2.0805468559265137,0,-1,-1,-17,1,10.0,0.9637882709503174,0.9996000599960002,0.0,0.04818941354751587
0,5,0.09269659966230392,-0.19029369950294495,-0.4774649143218994,-0.8515980243682861,0,-2,0,-7,0,-10.0,0.9579046964645386,0.9995000999900007,0.04789523482322693,0.0
0,6,0.08386531472206116,-0.20517143607139587,-1.1873140335083008,-1.9556710720062256,0,-2,-1,-16,1,10.0,0.952475905418396,0.9994001499800017,0.04618232250213623,0.09935127583146096
1,7,0.0766008272767067,-0.21800021827220917,-0.3748108744621277,-0.760209858417511,0,-2,0,-6,0,-10.0,0.9461746215820312,0.9993002099650037,0.09818314576596021,0.0
2,8,0.06876719743013382,-0.23200301826000214,-1.08932626247406,-1.8692054748535156,0,-2,-1,-15,1,10.0,0.9403882622718811,0.9992002799440072,0.08885553032159806,0.05162048110961914
3,9,0.06240472197532654,-0.24415528774261475,-0.2900848388671875,-0.7049586772918701,0,-2,0,-6,1,10.0,0.9398589730262756,0.9991003599160128,0.18971786521330475,0.04699294865131379
8,10,0.06367314606904984,-0.24523651599884033,0.44692927598953247,0.36184364557266235,0,-2,0,3,1,10.0,0.9442538619041443,0.9990004498800211,0.0,0.04721269309520722
15,11,0.07200686633586884,-0.23610608279705048,1.1307427883148193,1.3494466543197632,0,-2,1,11,1,10.0,0.9527100324630737,0.9989005498350332,0.0,0.04763550162315369
26,12,0.08692001551389694,-0.2174624651670456,1.7686660289764404,2.272545337677002,0,-2,2,18,0,-10.0,0.9590076804161072,0.9988006597800497,0.05269181813001633,0.0
35,13,0.09964260458946228,-0.20246557891368866,0.8978478312492371,0.926693856716156,0,-2,1,7,0,-10.0,0.959828794002533,0.9987007797140718,0.1398384081947553,0.09605936110019685
49,14,0.1039910763502121,-0.20042747259140015,0.08700691163539886,-0.3298051357269287,0,-2,0,-3,1,10.0,0.9608758687973022,0.9986009096361004,0.27285618859802185,0.09511163816154003
62,15,0.10892953723669052,-0.1977982223033905,0.805759847164154,0.7271379828453064,0,-2,1,6,1,10.0,0.965762734413147,0.9985010495451367,0.04570170938968659,0.10590622302383185
71,16,0.12076326459646225,-0.18503320217132568,1.4732106924057007,1.7081626653671265,0,-1,1,14,0,-10.0,0.9691799283027649,0.9984011994401822,0.28228200093541,0.13913204753154518
80,17,0.1306210309267044,-0.17555634677410126,0.6185920238494873,0.38339006900787354,0,-1,1,3,1,10.0,0.9724345207214355,0.9983013593202382,0.0,0.16380066099777169
84,18,0.1406833529472351,-0.16602839529514313,1.3032952547073364,1.397924780845642,0,-1,1,11,0,-10.0,0.9745373725891113,0.9982015291843062,0.4886853934422134,0.28530691841479416
97,19,0.148899108171463,-0.15957015752792358,0.4587838053703308,0.08716394007205963,0,-1,0,1,0,-10.0,0.9725472331047058,0.9981017090313877,0.8104632978607189,0.825026555800873
105,20,0.1490178108215332,-0.16568873822689056,-0.32403767108917236,-1.1296461820602417,0,-1,0,-9,0,-10.0,0.9663437604904175,0.9980018988604846,0.08581853231381437,0.0
112,21,0.1416488140821457,-0.18345636129379272,-1.0469727516174316,-2.254749059677124,0,-1,-1,-18,0,-10.0,0.9550687670707703,0.9979020986705985,0.8578901430325926,0.39942694334082907
118,22,0.1273830085992813,-0.2119697779417038,-1.7118382453918457,-3.2906558513641357,0,-2,-2,-26,1,10.0,0.9434496164321899,0.9978023084607315,0.5562223301250906,0.6849527403956763
124,23,0.11511656641960144,-0.237803116440773,-0.8586077094078064,-2.0378386974334717,0,-2,-1,-16,0,-10.0,0.9301903247833252,0.9977025282298854,0.5075399415533277,0.6865195923594396
137,24,0.10268449038267136,-0.2642151117324829,-1.5314677953720093,-3.081833600997925,0,-2,-2,-25,1,10.0,0.9168634414672852,0.9976027579770624,0.1325220501422882,0.2582339752119115
141,25,0.09207174181938171,-0.2883341312408447,-0.7039881348609924,-1.8914703130722046,0,-2,-1,-15,0,-10.0,0.9018440842628479,0.9975029977012647,0.3551690340593051,0.36870268057520605
148,26,0.08115918934345245,-0.3132984936237335,-1.380901575088501,-2.9349639415740967,0,-3,-1,-23,1,10.0,0.8868966102600098,0.9974032474014946,0.0,-0.057773710318535565
153,27,0.07191286981105804,-0.3363085687160492,-0.5773348212242126,-1.8048367500305176,0,-3,-1,-14,1,10.0,0.8784294128417969,0.9973035070767544,0.04804489943385126,0.016886512221789843
159,28,0.07030405849218369,-0.3486696481704712,0.15877336263656616,-0.7840749621391296,0,-3,0,-6,1,10.0,0.8765588402748108,0.9972037767260468,0.26194005324667063,0.15097969759702684
168,29,0.07572363317012787,-0.35134199261665344,0.8378774523735046,0.1486828476190567,0,-3,1,1,0,-10.0,0.8727506995201111,0.9971040563483742,0.04199650871287884,0.0
175,30,0.0796341672539711,-0.35672032833099365,0.057513706386089325,-1.0340383052825928,0,-3,0,-8,0,-10.0,0.8605479001998901,0.9970043459427393,-0.022498162810594677,0.09130761351604968
186,31,0.07607510685920715,-0.373432993888855,-0.6641013622283936,-2.1294689178466797,0,-3,-1,-17,0,-10.0,0.8395324945449829,0.9969046455081451,0.11688565043725768,0.017387709952497943
189,32,0.06564335525035858,-0.4005838930606842,-1.326289176940918,-3.134509563446045,0,-3,-1,-25,1,10.0,-2.181575298309326,0.9968049550435942,0.0,-0.05894745433822722
200,33,-0.1853242665529251,0.037628889083862305,0.20643985271453857,0.13096106052398682,0,0,0,1,1,10.0,0.9979339838027954,0.9967052745480899,1.5155763007199987,1.8325992949675827
209,34,-0.17906369268894196,0.045453235507011414,0.9433403015136719,1.2732198238372803,0,0,1,10,0,-10.0,0.9973924160003662,0.9966056040206351,1.8337188956665316,1.0523424370808592
219,35,-0.17428329586982727,0.05106418952345848,0.12478464096784592,0.01841805875301361,0,0,0,0,0,-10.0,0.9980038404464722,0.9965059434602331,2.031265958938432,1.9171766437535802
226,36,-0.17733505368232727,0.044678568840026855,-0.6319494843482971,-1.1403782367706299,0,0,-1,-9,1,10.0,0.9983720779418945,0.9964062928658871,1.1064041307995738,1.762941763719705
234,37,-0.17910002171993256,0.04034755751490593,0.16790571808815002,0.09953343868255615,0,0,0,1,0,-10.0,0.9987945556640625,0.9963066522366005,1.7019228981657246,1.882328385886734
241,38,-0.18174545466899872,0.03471941128373146,-0.5929968953132629,-1.0678459405899048,0,0,-1,-9,1,10.0,0.9990342259407043,0.9962070215713769,1.1388329453140464,1.9038769712178163
255,39,-0.18313921988010406,0.031076889485120773,0.20378074049949646,0.16628718376159668,0,0,0,1,1,10.0,0.9984595775604248,0.9961074008692198,1.7217938496305587,2.069670089723986
260,40,-0.17690566182136536,0.03924790769815445,0.940726637840271,1.3078947067260742,0,0,1,10,1,10.0,0.9965944886207581,0.9960077901291329,2.1087404529528144,1.0809014622618325
268,41,-0.16361770033836365,0.058357059955596924,1.6222028732299805,2.3650004863739014,0,0,2,19,0,-10.0,0.9944547414779663,0.9959081893501199,0.7468110251302973,0.5628687637468046
274,42,-0.15233467519283295,0.07446640729904175,0.7535766363143921,1.0363811254501343,0,1,1,8,0,-10.0,0.9939300417900085,0.995808598531185,1.1936598812572665,0.9992663565212685
280,43,-0.14935073256492615,0.07790998369455338,-0.047719649970531464,-0.18530963361263275,0,1,0,-1,0,-10.0,0.9951460957527161,0.9957090176713319,1.9077838795767619,1.3154823120005474
287,44,-0.15403571724891663,0.06966988742351532,-0.7888415455818176,-1.3141193389892578,0,1,-1,-11,0,-10.0,0.9974399209022522,0.9956094467695648,0.49072575427567455,0.8812417712440429
293,45,-0.1658264696598053,0.05059726536273956,-1.4760712385177612,-2.3623239994049072,0,0,-1,-19,0,-10.0,0.9995403289794922,0.9955098858248879,0.0703804896128685,0.3128240963207316
299,46,-0.18421286344528198,0.02143958956003189,-2.1141459941864014,-3.339111089706421,0,0,-2,-27,0,-10.0,0.9997067451477051,0.9954103348363054,0.16766726014963185,0.40267425360724873
305,47,-0.20872019231319427,-0.017124272882938385,-2.7059953212738037,-4.25006628036499,0,0,-3,-34,1,10.0,0.9973711967468262,0.9953107938028217,0.09927060604095458,0.4098412040540599
313,48,-0.23035168647766113,-0.05127177760004997,-1.7520735263824463,-2.781904458999634,0,0,-2,-22,1,10.0,0.9948957562446594,0.9952112627234414,0.5062209798054023,0.9293622729761232
320,49,-0.24287128448486328,-0.07144393026828766,-0.8727717995643616,-1.4353811740875244,0,-1,-1,-11,1,10.0,0.9937921762466431,0.9951117415971691,1.0520334681872505,1.9504211740758204
330,50,-0.24699291586875916,-0.0787895992398262,-0.06211753934621811,-0.1987372785806656,0,-1,0,-2,0,-10.0,0.9923568964004517,0.9950122304230093,1.5482821956454482,1.216359945533274
344,51,-0.25187668204307556,-0.0874248519539833,-0.8099474906921387,-1.3612512350082397,0,-1,-1,-11,0,-10.0,0.9885097742080688,0.9949127291999671,1.1335588147785374,1.9262472920008917
347,52,-0.26391488313674927,-0.10719247907400131,-1.5008132457733154,-2.4366536140441895,0,-1,-2,-19,0,-10.0,0.9811622500419617,0.9948132379270471,0.5798713277207357,1.24059215862082
354,53,-0.28255295753479004,-0.13725073635578156,-2.1375110149383545,-3.4297688007354736,0,-1,-2,-27,0,-10.0,0.9687446355819702,0.9947137566032545,0.7645875610877462,0.6150701523757737
362,54,-0.3072565793991089,-0.17679201066493988,-2.721712350845337,-4.343322277069092,0,-1,-3,-35,0,-10.0,0.9493653774261475,0.9946142852275941,0.4066178183061454,0.25699429894203085
371,55,-0.3375000059604645,-0.22502125799655914,-3.253950595855713,-5.1779327392578125,0,-2,-3,-41,0,-10.0,0.9209610223770142,0.9945148237990713,0.27621818953320665,0.22396283621907234
385,56,-0.37275636196136475,-0.28113865852355957,-3.733914375305176,-5.932737350463867,0,-2,-4,-47,1,10.0,0.8895895481109619,0.9944153723166914,0.12817382752895357,0.07974123823911819
395,57,-0.4043470621109009,-0.33228057622909546,-2.7318081855773926,-4.496068954467773,0,-3,-3,-36,0,-10.0,0.8542399406433105,0.9943159307794598,0.10736783007502557,0.0276283190134834
403,58,-0.4345299005508423,-0.3817853629589081,-3.2367866039276123,-5.280190467834473,0,-3,-3,-42,1,10.0,-2.182644844055176,0.9942164991863819,-0.21129873394966125,-0.24523226520695093
412,59,-0.08479132503271103,-0.025252804160118103,-0.0018863976001739502,-0.13274288177490234,0,0,0,-1,0,-10.0,0.9988968372344971,0.9941170775364633,2.535416916948773,1.9486975932942676
417,60,-0.08909063786268234,-0.033213529735803604,-0.7538282871246338,-1.2967957258224487,0,0,-1,-10,1,10.0,0.9984667301177979,0.9940176658287097,1.1780385529648851,2.4890855604353934
426,61,-0.09204971045255661,-0.03915669769048691,0.05155736207962036,-0.05982488393783569,0,0,0,0,0,-10.0,0.9978432059288025,0.9939182640621268,2.7991865189129648,2.7703763018424716
440,62,-0.09584083408117294,-0.04644141346216202,-0.7047390341758728,-1.2321490049362183,0,0,-1,-10,1,10.0,0.9973166584968567,0.9938188722357206,1.1889171769063094,2.606045769871182
447,63,-0.09833769500255585,-0.051801081746816635,0.09582463651895523,-0.00527915358543396,0,0,0,0,1,10.0,0.9979360103607178,0.993719490348497,2.816640659312559,2.904466178521156
457,64,-0.09317443519830704,-0.04543094336986542,0.8359460234642029,1.1277577877044678,0,0,1,9,0,-10.0,0.9982892274856567,0.9936201183994622,2.6285197340159137,1.6451186848525938
465,65,-0.0894567221403122,-0.041361238807439804,0.02077305316925049,-0.13584786653518677,0,0,0,-1,0,-10.0,0.9975607991218567,0.9935207563876223,2.943174153592689,2.0085408871344113
473,66,-0.09354294836521149,-0.049388475716114044,-0.7332429885864258,-1.3048913478851318,0,0,-1,-10,0,-10.0,0.9952920079231262,0.9934214043119836,1.3141832706155112,2.7920514082644967
478,67,-0.10484602302312851,-0.0686149075627327,-1.430350661277771,-2.3871066570281982,0,-1,-1,-19,1,10.0,0.9927583932876587,0.9933220621715524,1.1946552247237894,0.9281718871690323
488,68,-0.11429856717586517,-0.08509770035743713,-0.5771130919456482,-1.0846754312515259,0,-1,-1,-9,1,10.0,0.9920486807823181,0.9932227299653352,1.4465830041826107,2.634565790725502
497,69,-0.11560109257698059,-0.08917032182216644,0.20971563458442688,0.1120695024728775,0,-1,0,1,1,10.0,0.9933085441589355,0.9931234076923388,2.176630985918261,2.569419083351161
505,70,-0.10937395691871643,-0.0818011537194252,0.9373688101768494,1.2173768281936646,0,-1,1,10,0,-10.0,0.9940819144248962,0.9930240953515695,2.5177388358128563,1.0928146406873152
510,71,-0.10468688607215881,-0.07692919671535492,0.11482134461402893,-0.06024216115474701,0,-1,0,0,0,-10.0,0.9928944110870361,0.9929247929420344,3.1821543616870565,2.772656402317425
