episode,step,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9
0,0,0.13649877905845642,-0.12030722945928574,0.0,-0.0,0,-1,0,0,7,5.555555555555555,0.9863325953483582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04931662976741791,0.0,0.0
0,1,0.1388063281774521,-0.11690755933523178,0.4078228175640106,0.6067755222320557,0,-1,0,5,0,-10.0,0.9861212372779846,0.9999,0.049306061863899235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.13842499256134033,-0.11780815571546555,-0.3741016983985901,-0.6094596982002258,0,-1,0,-5,9,10.0,0.986225426197052,0.9998000100000001,0.0,0.049678921699523926,0.04959564208984375,0.04889418482780457,0.0,0.0,0.0,0.0,0.09442742109298707,0.16889948995411397
0,3,0.13903677463531494,-0.11736520379781723,0.39309588074684143,0.5484566688537598,0,-1,0,4,4,-1.1111111111111107,0.9872172474861145,0.9997000299990001,0.04882487654685974,0.0,0.0,0.13016380255514026,0.09917814731597902,0.0,0.0,0.04867166876792908,0.0,0.0
0,4,0.14228419959545135,-0.11306099593639374,0.275005578994751,0.3498149514198303,0,-1,0,3,6,3.333333333333334,0.9883859753608704,0.9996000599960002,0.04976891875267029,0.1428849020600319,0.0,0.048739030957221985,0.0938904869556427,0.049025571346282965,0.11272027812964688,0.16965080604553223,0.15162807449698448,0.1334063310325146
0,5,0.1462876945734024,-0.10776826739311218,0.49739134311676025,0.6739118695259094,0,-1,0,5,6,3.333333333333334,0.9901264309883118,0.9995000999900007,0.14306333094835283,0.27151656319346185,0.0,0.09311717122793198,0.14088734775781633,0.053167851755023005,0.09905311367809773,0.15167070700228216,0.14712877251803877,0.0
0,6,0.152424618601799,-0.09936589002609253,0.7037639617919922,0.9745315909385681,0,-1,1,8,0,-10.0,0.9906341433525085,0.9994001499800017,0.142742757499218,0.0,0.04962263405323029,0.11216110287114978,0.0,0.05375632126629353,0.0,0.0,0.04966744482517243,0.09340032756328584
0,7,0.1548755168914795,-0.09677749872207642,-0.10089698433876038,-0.2762764096260071,0,-1,0,-2,1,-7.777777777777778,0.9890334606170654,0.9993002099650037,0.1485887875676155,0.09757620394229889,0.049273961782455446,0.04835913181304932,0.05614260243024577,0.04840846359729767,0.09369697004556657,0.1518617822161317,0.1051883589258817,0.053890128409862514
0,8,0.15056538581848145,-0.10472124069929123,-0.6794267892837524,-1.1796218156814575,0,-1,-1,-9,3,-3.333333333333333,0.9859756231307983,0.9992002799440072,0.04947004020214081,0.0,0.04832341372966767,0.13802104434669019,0.0493390291929245,0.1419892802834511,0.1326250818669796,0.0,0.04877025783061981,0.06627208634118736
0,9,0.14260649681091309,-0.11842454224824905,-0.8824366331100464,-1.507250189781189,0,-1,-1,-12,5,1.1111111111111107,0.9824703335762024,0.9991003599160128,0.0,0.04966426491737366,0.14204757213592528,0.09826291799545289,0.14071547567844392,0.14679173173308374,0.04900825321674347,0.09882340246140958,0.13869171236462086,0.0
1,10,0.13458669185638428,-0.13239964842796326,-0.7392757534980774,-1.3061778545379639,0,-1,-1,-10,6,3.333333333333334,0.9795370101928711,0.9990004498800211,0.049358746409416204,0.04795992374420166,0.0,0.14744407679736615,0.04831435084342957,0.15300790676772597,0.04897685050964356,0.11125763855776191,0.1671409101532728,0.048193645477294926
3,11,0.12886983156204224,-0.1430489718914032,-0.44267064332962036,-0.87285977602005,0,-1,0,-7,2,-5.555555555555555,0.975875735282898,0.9989005498350332,0.05427453474998474,0.053203221452236174,0.0487937867641449,0.0,0.0,0.0,0.06255251668295264,0.0,0.06900155443162174,0.11101205414721371
6,12,0.1222304105758667,-0.15531985461711884,-0.829188346862793,-1.484913945198059,0,-1,-1,-12,7,5.555555555555555,0.9723363518714905,0.9988006597800497,0.09856332242488862,0.09835072457790375,0.14204757213592528,0.14602534930706024,0.14071547567844392,0.14679173173308374,0.09284311801195146,0.15656029143214228,0.13869171236462086,0.0
13,13,0.11657679080963135,-0.1663239747285843,-0.36320456862449646,-0.7984673976898193,0,-1,0,-6,6,3.333333333333334,0.9703384637832642,0.9987007797140718,0.04953714609146118,0.10320285405814648,0.0,0.04885931313037872,0.13320854365825652,0.19959879837843117,0.15898384099110335,0.12129129660643875,0.2313348312971324,0.16955081526198984
16,14,0.11443770676851273,-0.17222516238689423,-0.09799021482467651,-0.42013832926750183,0,-1,0,-3,4,-1.1111111111111107,0.9685399532318115,0.9986009096361004,0.23992558449476958,0.10366662313255817,0.05444079299271107,0.27667189725816255,0.28386099412377985,0.19044863995015623,0.4155140835681966,0.2627582806533575,0.09714287817478182,0.1879544504314661
22,15,0.11296562105417252,-0.1773698627948761,-0.1815277487039566,-0.5731933116912842,0,-1,0,-5,8,7.777777777777779,0.9681994318962097,0.9985010495451367,0.1949958174276352,0.27166768452435736,0.0931764554977417,0.1870609308063984,0.2134097435936788,0.16834753265698194,0.09795248806476593,0.20395313828306993,0.31994400824869873,0.29748791303060756
27,16,0.11442553997039795,-0.17832718789577484,0.3972724378108978,0.2791816294193268,0,-1,0,2,5,1.1111111111111107,0.9692398309707642,0.9984011994401822,0.1516897350382805,0.10723079487264156,0.14249040067195892,0.20608334706217052,0.24424907663977102,0.1902248355957359,0.2414731463577857,0.1778029525566232,0.1959154656918645,0.10234128643751145
