episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4
1,14,15,-0.18351911008358002,-0.41240841150283813,-0.9918739795684814,-2.080080270767212,0,-7,-2,-33,1,-2.5,10.580249965190887,0.9930227045625007,0.0,-0.1094451904296875,0.0,0.0,0.0
2,15,16,-0.10705707222223282,-0.4007982015609741,-1.2642539739608765,-2.4854495525360107,0,-6,-3,-40,4,5.0,11.617716252803802,0.9925261932102195,0.0,0.0,0.0,0.0,-0.07004026174545289
3,15,16,0.032698944211006165,0.38978564739227295,1.5526368618011475,2.823610782623291,0,6,3,45,4,5.0,11.983909845352173,0.9925261932102195,0.0,0.0,0.0,0.0,-0.10883979797363282
4,16,17,0.03850371390581131,0.41384321451187134,0.5781678557395935,1.5793991088867188,0,7,1,25,3,2.5,12.299245595932007,0.9920299301136144,0.0,0.0,0.0,-0.10930160284042359,0.0
5,16,17,0.2751581072807312,0.4012778401374817,1.5955719947814941,2.9209861755371094,1,6,3,47,3,2.5,12.901907563209534,0.9920299301136144,0.0,0.0,0.0,-0.10930998325347902,0.0
6,16,17,0.2995716631412506,0.4008263647556305,1.182953953742981,2.3765556812286377,1,6,2,38,2,0.0,12.639543354511261,0.9920299301136144,0.0,0.0,-0.10900954008102418,0.0,0.0
7,17,18,0.15850494801998138,0.4048987627029419,1.6670677661895752,3.133976459503174,0,6,3,50,4,5.0,13.435348868370056,0.9915339151485576,0.0,0.0,0.0,0.0,-0.10961811542510987
8,17,18,0.04609775170683861,0.4062260389328003,0.6870301961898804,1.7373182773590088,0,6,1,28,3,2.5,13.375264406204224,0.9915339151485576,0.0,0.0,0.0,-0.1090399980545044,0.0
9,17,18,0.23685266077518463,0.41643670201301575,0.9212983250617981,2.060091972351074,0,7,2,33,1,-2.5,13.46981555223465,0.9915339151485576,0.0,-0.10949373245239258,0.0,0.0,0.0
10,18,19,0.01132155116647482,0.415384441614151,0.387291818857193,1.3812168836593628,0,7,1,22,0,-5.0,14.153234839439392,0.9910381481909833,-0.10910987854003906,0.0,0.0,0.0,0.0
