episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4
1,9,10,-0.1924295872449875,-0.37795278429985046,-2.3977749347686768,-3.9204578399658203,0,-3,-2,-31,0,-5.0,6.163859963417053,0.1,-0.10877935886383057,0.0,0.0,0.0,0.0
2,9,10,-0.24842026829719543,-0.3897027373313904,-1.891362190246582,-3.190753936767578,0,-3,-2,-26,0,-5.0,6.0444512367248535,0.1,-0.06231077527701855,0.0,0.0,0.0,0.0
3,9,10,-0.30337393283843994,-0.3823058605194092,-2.5014615058898926,-4.077149391174316,0,-3,-3,-33,0,-5.0,6.169200658798218,0.1,-0.028717579543590548,0.0421020656824112,0.0,0.0,0.0
4,9,10,-0.26030153036117554,-0.40077289938926697,-2.495814085006714,-4.076240539550781,0,-3,-2,-33,0,-5.0,6.063766837120056,0.1,-0.10982718467712403,0.0,0.0,0.0,0.0
5,9,10,-0.09069981426000595,-0.39069345593452454,-2.498969078063965,-4.077001094818115,0,-3,-2,-33,0,-5.0,6.122189283370972,0.1,-0.20823021888732912,0.0,0.0,0.0,0.0
6,9,10,-0.29765018820762634,-0.38676685094833374,-2.5001511573791504,-4.077125549316406,0,-3,-3,-33,0,-5.0,6.144378304481506,0.1,-0.02648342504501343,0.0421020656824112,0.0,0.0,0.0
7,9,10,-0.014438104815781116,-0.4118834435939789,-2.492137908935547,-4.074662685394287,0,-3,-2,-33,0,-5.0,5.996915280818939,0.1,-0.2977323904037476,0.0,0.0,0.0,0.0
8,9,10,-0.04262939468026161,-0.41219866275787354,-2.492030620574951,-4.074607849121094,0,-3,-2,-33,0,-5.0,5.994980692863464,0.1,-0.40807187700271613,0.0,0.0,0.0,0.0
9,9,10,-0.17252817749977112,-0.38967713713645935,-2.499277353286743,-4.077042579650879,0,-3,-2,-33,4,5.0,6.132780492305756,0.1,-0.40807187700271613,0.0,0.0,0.0,-0.10910093784332275
10,9,10,-0.19988290965557098,-0.41222161054611206,-2.49202299118042,-4.0746049880981445,0,-3,-2,-33,0,-5.0,5.99483996629715,0.1,-0.5073784759044648,0.0,0.0,0.0,-0.10910093784332275
11,9,10,-0.1297486573457718,-0.39424335956573486,-2.497877836227417,-4.076805591583252,0,-3,-2,-33,0,-5.0,6.101854145526886,0.1,-0.58714531788826,0.0,0.0,0.0,-0.10910093784332275
12,9,10,-0.31513121724128723,-0.3883815407752991,-2.4996678829193115,-4.077085971832275,0,-3,-2,-33,0,-5.0,6.135292410850525,0.1,-0.6754666003942491,0.0,0.0,0.0,-0.10910093784332275
13,9,10,-0.01192384772002697,-0.38105881214141846,-2.501821994781494,-4.0771331787109375,0,-3,-3,-33,0,-5.0,6.176065802574158,0.1,0.055113259194961184,0.0421020656824112,0.0,0.0,0.0
14,9,10,-0.2131132334470749,-0.4102664291858673,-2.4926860332489014,-4.074942111968994,0,-3,-2,-33,0,-5.0,6.006805419921875,0.1,-0.7479686402940751,0.0,0.0,0.0,-0.10910093784332275
15,9,10,0.07350526005029678,-0.39047783613204956,-2.4990339279174805,-4.077012062072754,0,-3,-2,-33,0,-5.0,6.123416483402252,0.1,-0.812344919734955,0.0,0.0,0.0,-0.10910093784332275
16,9,10,-0.19352595508098602,-0.4015732705593109,-2.4955551624298096,-4.0761518478393555,0,-3,-2,-33,0,-5.0,6.059036910533905,0.1,-0.8924108442959787,0.0,0.0,0.0,-0.10910093784332275
17,9,10,0.00020672506070695817,-0.3999342918395996,-2.146165609359741,-3.5743281841278076,0,-3,-2,-29,0,-5.0,6.060819983482361,0.1,0.011161599755287174,0.0,0.0,0.0,0.0
18,9,10,-0.00033438950777053833,-0.3891461193561554,-2.172260046005249,-3.601796865463257,0,-3,-2,-29,0,-5.0,6.1048166155815125,0.1,-0.0909508470594883,0.0,0.0,0.0,0.0
19,9,10,-0.13380685448646545,-0.39556077122688293,-2.3340768814086914,-3.8395047187805176,0,-3,-2,-31,0,-5.0,6.080940306186676,0.1,-0.20740057945251467,0.0,0.0,0.0,0.0
20,9,10,-0.10057742893695831,-0.3839937746524811,-2.0097877979278564,-3.36350154876709,0,-3,-2,-27,0,-5.0,6.121106147766113,0.1,0.3307036622497782,0.043572050333023075,0.043712919950485235,0.04380770325660706,0.0
