episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4
1,14,15,-0.17721492052078247,-0.4030996561050415,-1.0369696617126465,-2.133995532989502,0,-3,-1,-17,2,0.0,10.60814779996872,1.0,0.0,0.0,-0.10900729894638062,0.0,0.0
2,15,16,-0.11072428524494171,-0.40609976649284363,-1.6002800464630127,-2.969956159591675,0,-3,-2,-24,2,0.0,11.601432740688324,0.995,0.0,0.0,-0.10947997570037843,0.0,0.0
3,16,17,-0.15183578431606293,-0.41414666175842285,-0.910656750202179,-2.0398201942443848,0,-3,-1,-16,2,0.0,12.406097829341888,0.990025,0.044222676753997804,0.044261837005615236,0.01071816384792329,0.0,0.0
4,16,17,0.2822827398777008,0.41195398569107056,1.7251302003860474,3.118945598602295,0,3,2,25,1,-2.5,12.87028706073761,0.985074875,0.0,-0.10973832607269288,0.0,0.0,0.0
5,17,18,0.01277210284024477,0.40901482105255127,0.9014632105827332,2.052419662475586,0,3,1,16,2,0.0,13.329842627048492,0.9801495006250001,0.04369132518768311,0.0,-0.021250641870498653,0.08942792912781239,0.08669827282428742
6,17,18,-0.09934449940919876,-0.41427507996559143,-0.7036116123199463,-1.7621502876281738,0,-3,-1,-14,1,-2.5,13.393177568912506,0.9752487531218751,0.0,-0.03550253862142563,0.0,0.04398748576641083,0.0
7,17,18,0.3007361590862274,0.40882450342178345,1.004921793937683,2.1672236919403076,0,3,1,17,4,5.0,13.5123969912529,0.9703725093562657,0.0,0.04564192864298821,0.0,0.0,-0.1093869686126709
8,18,19,0.024421710520982742,0.4096366763114929,0.5302441120147705,1.6072371006011963,0,3,1,13,3,2.5,14.012370526790619,0.9655206468094844,0.0,0.04410178363323212,0.0,-0.10913395881652832,0.0
9,18,19,-0.051703471690416336,0.4164169132709503,0.7633199691772461,1.8785367012023926,0,3,1,15,0,-5.0,14.400779664516449,0.960693043575437,-0.06580200791358948,0.0,0.0,0.08222896099090576,0.0
10,18,19,0.0902104303240776,0.4015836715698242,1.5331777334213257,2.881211042404175,0,3,2,23,2,0.0,14.754254579544067,0.9558895783575597,0.0,0.0,-0.06534854769706727,0.0,0.0
11,18,19,0.014795930124819279,-0.40763649344444275,-0.9080150723457336,-2.067049264907837,0,-3,-1,-17,3,2.5,14.439216434955597,0.9511101304657719,0.0,0.04256606101989746,-0.10900729894638062,-0.0635963216304779,0.0
12,18,19,-0.3364264667034149,-0.40025022625923157,-1.2337802648544312,-2.4495410919189453,0,-3,-1,-20,2,0.0,14.848541676998138,0.946354579813443,0.0,0.0,-0.10901460647583008,0.04341774880886078,0.0
13,18,19,0.03798644617199898,0.4157065451145172,1.0012820959091187,2.162118673324585,0,3,1,17,0,-5.0,14.564384937286377,0.9416228069143757,-0.10944411754608155,0.04564192864298821,0.04434240758419037,0.0,-0.1093869686126709
14,19,20,0.0076865446753799915,-0.38939666748046875,-1.3299521207809448,-2.722221612930298,0,-3,-1,-22,0,-5.0,15.323704540729523,0.9369146928798039,-0.10878649950027466,0.0,0.0,0.0,0.0
15,19,20,0.04133183881640434,0.41582393646240234,0.031864795833826065,0.9156527519226074,0,3,0,7,1,-2.5,15.053093910217285,0.9322301194154049,0.0,-0.10899821519851685,0.04455735385417939,0.04450295865535736,0.09212678983211517
16,19,20,-0.18498989939689636,-0.41534602642059326,-0.7780579328536987,-1.9146158695220947,0,-3,-1,-15,1,-2.5,15.34649395942688,0.9275689688183278,0.0,-0.025671549885571007,0.04267992973327637,0.0,0.0
17,19,20,0.22656486928462982,0.4164285957813263,0.6607085466384888,1.773125171661377,0,3,1,14,2,0.0,15.204810380935669,0.9229311239742362,0.09149827107787133,0.1227353469967842,-0.023843959861800067,0.04411958754062653,0.04368969798088074
18,20,21,0.27126288414001465,0.4083127975463867,1.6419031620025635,3.087242603302002,0,3,2,25,0,-5.0,16.708572328090668,0.918316468354365,-0.1095056176185608,-0.10973832607269288,0.0,0.0,0.0
19,21,22,0.2537747919559479,0.41241592168807983,0.09486375749111176,1.099961757659912,0,3,0,9,0,-5.0,16.818771302700043,0.9137248860125932,-0.02899279594421387,0.04416194558143616,0.12587824910879136,0.043682691454887394,0.08611316493749618
20,21,22,-0.041552212089300156,-0.3949315845966339,-1.0088622570037842,-2.226957082748413,0,-3,-1,-18,0,-5.0,17.485723614692688,0.9091562615825302,-0.02665559381246567,0.0,0.030991980385780334,0.0,0.0435865730047226
21,21,22,-0.2245360165834427,-0.4053206145763397,-0.8259119391441345,-2.0570216178894043,0,-3,-1,-16,1,-2.5,17.14230316877365,0.9046104802746175,0.044222676753997804,0.07470910225865243,0.10004695487618448,0.0414188027381897,0.04397929906845093
22,21,22,-0.16921833157539368,-0.40510496497154236,-0.9270658493041992,-2.1856849193573,0,-3,-1,-17,4,5.0,17.26732063293457,0.9000874278732445,0.0,0.04256606101989746,-0.10900729894638062,-0.01620002666777462,-0.10899893045425416
23,21,22,0.2750561535358429,0.4098204970359802,0.5039458274841309,1.6418689489364624,0,3,1,13,2,0.0,16.986390113830566,0.8955869907338783,0.0901010151475668,0.08826899230480195,-0.06793735666632653,-0.06620301604270934,0.0506584864013508
24,22,23,0.2457456886768341,0.415630042552948,-0.12509657442569733,0.7039650082588196,0,3,0,6,1,-2.5,18.227107405662537,0.8911090557802088,0.0,-0.10890426635742188,0.04483150839805603,0.0854403718084097,0.04466332495212555
