episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4
1,15,16,-0.18029344081878662,-0.4144498407840729,-0.6675028204917908,-1.663628339767456,0,-3,-1,-13,1,-2.5,11.43269270658493,0.9985010495451367,0.0,-0.03121430428981782,0.0,0.0,0.0
2,16,17,-0.14720319211483002,-0.40751680731773376,-0.4026128351688385,-1.3142828941345215,0,-3,0,-11,0,-5.0,12.421938121318817,0.9984011994401822,-0.10898168087005616,0.0,0.0,0.0,0.0
3,16,17,-0.1130809411406517,-0.416556179523468,-0.6908667087554932,-1.7247610092163086,0,-3,-1,-14,3,2.5,12.439871490001678,0.9984011994401822,0.0,0.04844757666289806,0.0,-0.06977082520723343,0.04169650673866272
4,16,17,0.27376437187194824,0.3994435966014862,1.4241642951965332,2.674440383911133,0,3,1,21,1,-2.5,12.902985215187073,0.9984011994401822,0.0,-0.10901138782501221,0.0,0.0,0.0
5,16,17,0.2274017333984375,0.3954339325428009,1.5219998359680176,2.8582587242126465,0,3,2,23,3,2.5,12.661529421806335,0.9984011994401822,0.0,0.0,0.04307293891906738,-0.10903463363647461,0.0
6,16,17,0.29565125703811646,0.39455145597457886,1.3935613632202148,2.6723012924194336,0,3,1,21,1,-2.5,12.681285202503204,0.9984011994401822,0.0,-0.21781554222106936,0.0,0.0,0.0
7,17,18,0.04866587370634079,0.4101983904838562,0.6690709590911865,1.7166422605514526,0,3,1,14,1,-2.5,13.355852365493774,0.9983013593202382,0.0,-0.10908286571502686,0.11872287148237229,0.042882487177848816,0.1266990101337433
8,17,18,-0.052057553082704544,0.4085078239440918,1.2957096099853516,2.5882763862609863,0,3,1,21,4,5.0,13.549235343933105,0.9983013593202382,0.0,-0.21781554222106936,0.0,0.0,-0.1095481276512146
9,18,19,0.02906692959368229,0.4164929986000061,-0.04286767542362213,0.8017060160636902,0,3,0,6,1,-2.5,13.991188764572144,0.9982015291843062,0.0,-0.10898017883300781,0.04483150839805603,0.042759966850280766,0.04466332495212555
10,18,19,-0.054191362112760544,-0.39331063628196716,-1.243778944015503,-2.445838212966919,0,-3,-1,-20,1,-2.5,14.822485208511353,0.9982015291843062,0.0,-0.10877875089645386,0.0,0.0,0.04165720641613007
11,18,19,-0.19727197289466858,-0.40847980976104736,-0.7917777299880981,-1.9212472438812256,0,-3,-1,-15,3,2.5,14.35061800479889,0.9982015291843062,0.047401677882671356,0.0,0.08499273061752319,-0.06665506958961487,0.04204581081867218
12,18,19,-0.1804530918598175,-0.4008254110813141,-1.3410860300064087,-2.661231756210327,0,-3,-1,-21,4,5.0,14.532906711101532,0.9982015291843062,0.0,0.0,0.04304634630680085,0.04212298393249512,-0.10900744199752808
13,18,19,0.03432679921388626,0.41045787930488586,0.6668802499771118,1.6838159561157227,0,3,1,13,1,-2.5,14.576819658279419,0.9982015291843062,0.0,-0.10908007621765137,0.13404560553044081,0.0,0.08755477070808412
14,19,20,0.14691796898841858,0.4025867283344269,1.415041446685791,2.8563528060913086,0,3,1,23,4,5.0,15.245941758155823,0.9981017090313877,0.0,0.0,0.0,0.0,-0.109403395652771
15,19,20,0.006256457883864641,0.4160914421081543,0.2579914629459381,1.2443382740020752,0,3,0,10,2,0.0,15.022823214530945,0.9981017090313877,0.1222349739074707,0.0,-0.10920305252075196,0.044606977701187135,0.0
16,19,20,-0.08777264505624771,-0.4139161705970764,-0.09767865389585495,-1.0042909383773804,0,-3,0,-8,3,2.5,15.100111186504364,0.9981017090313877,0.0,0.04415138363838196,0.0,-0.10895310640335083,0.04270990192890167
17,19,20,-0.24005736410617828,-0.4124565124511719,-1.0494650602340698,-2.2993860244750977,0,-3,-1,-18,3,2.5,15.346015810966492,0.9981017090313877,0.11747335675358772,0.0,0.04728273546397686,-0.10942054986953736,0.04132404923439026
18,19,20,0.0856926441192627,0.4019533693790436,0.6716600656509399,1.6925075054168701,0,3,1,14,4,5.0,15.622015833854675,0.9981017090313877,0.0424925446510315,-0.10908286571502686,0.15377693165242673,0.042882487177848816,0.009536521673202507
19,19,20,0.021226445212960243,-0.40568962693214417,-0.6047907471656799,-1.6721593141555786,0,-3,-1,-13,1,-2.5,15.31837660074234,0.9981017090313877,0.0,-0.14020591529369356,0.041770792007446295,0.033803578567504884,0.04810161603093147
20,19,20,0.31855371594429016,0.40929025411605835,1.5334802865982056,2.9579572677612305,0,3,2,24,0,-5.0,15.546604096889496,0.9981017090313877,-0.10949509143829346,0.0,0.04408158957958222,0.0,0.0
21,20,21,-0.08759284019470215,0.41111060976982117,0.37432605028152466,1.4199607372283936,0,3,0,11,3,2.5,16.05279415845871,0.9980018988604846,0.042188191413879396,0.0,0.0,-0.1091209888458252,0.08653098559081555
22,21,22,0.25229668617248535,0.41646328568458557,0.5322129726409912,1.5850751399993896,0,3,1,13,3,2.5,17.375264525413513,0.9979020986705985,0.0,-0.027823876440525044,0.13404560553044081,-0.10941853523254395,0.08755477070808412
23,21,22,-0.09856988489627838,-0.39843881130218506,-1.0579625368118286,-2.3474907875061035,0,-3,-1,-19,4,5.0,17.500333964824677,0.9979020986705985,0.043255174160003663,0.0,0.0,0.0,-0.07067752778530122
24,21,22,-0.030066026374697685,-0.4056026041507721,-1.6131473779678345,-3.066629648208618,0,-3,-2,-25,4,5.0,17.658250629901886,0.9979020986705985,0.0,0.0,0.041774323582649237,0.0,-0.10937917232513428
25,22,23,0.26594582200050354,0.4143299460411072,0.7958181500434875,1.9531686305999756,0,3,1,16,2,0.0,18.47018849849701,0.9978023084607315,0.042235398292541505,0.12627106547355652,-0.06992119818925857,0.0,0.0
26,22,23,0.24798662960529327,0.41419127583503723,-0.2067021280527115,0.7276412844657898,0,3,0,6,3,2.5,17.651552438735962,0.9978023084607315,0.0,-0.10898017883300781,0.08658611178398132,-0.034495509743690506,0.04466332495212555
