episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4
1,9,10,-0.32198649644851685,-0.4006434381008148,-2.4958558082580566,-4.076251983642578,0,-3,-2,-33,4,5.0,6.069427311420441,0.1,0.0,0.0,0.0,0.0,-0.21915318965911867
2,9,10,-0.2031770497560501,-0.3943674862384796,-2.4978392124176025,-4.0767974853515625,0,-3,-2,-33,2,0.0,6.103570938110352,0.1,0.0,0.0,-0.21884772777557374,0.0,-0.21915318965911867
3,9,10,-0.26547616720199585,-0.4147779643535614,-2.4911468029022217,-4.074126720428467,0,-3,-2,-33,0,-5.0,5.979075372219086,0.1,-0.22091379165649416,0.0,-0.21884772777557374,0.0,-0.21915318965911867
4,9,10,-0.30337393283843994,-0.3823058605194092,-2.5014615058898926,-4.077149391174316,0,-3,-3,-33,0,-5.0,6.169200658798218,0.1,-0.21805186271667482,0.0,0.0,0.0,0.0
5,9,10,-0.014438104815781116,-0.4118834435939789,-2.492137908935547,-4.074662685394287,0,-3,-2,-33,1,-2.5,5.9981648325920105,0.1,-0.22091379165649416,-0.22052543163299562,-0.21884772777557374,0.0,-0.21915318965911867
6,9,10,-0.2964511811733246,-0.38073715567588806,-2.5019145011901855,-4.077127456665039,0,-3,-3,-33,0,-5.0,6.177831768989563,0.1,-0.4141654777526856,0.0,0.0,0.0,0.0
7,9,10,-0.04262939468026161,-0.41219866275787354,-2.492030620574951,-4.074607849121094,0,-3,-2,-33,0,-5.0,5.994980692863464,0.1,-0.4195013856887818,-0.22052543163299562,-0.21884772777557374,0.0,-0.21915318965911867
8,9,10,-0.17252817749977112,-0.38967713713645935,-2.499277353286743,-4.077042579650879,0,-3,-2,-33,0,-5.0,6.127963483333588,0.1,-0.596234823703766,-0.22052543163299562,-0.21884772777557374,0.0,-0.21915318965911867
9,9,10,-0.11866753548383713,-0.3925406038761139,-2.215611457824707,-3.660783052444458,0,-3,-2,-29,0,-5.0,6.0594176054000854,0.1,-0.2185889482498169,0.0,0.0,0.0,0.0
10,9,10,-0.19988290965557098,-0.41222161054611206,-2.49202299118042,-4.0746049880981445,0,-3,-2,-33,0,-5.0,5.99483996629715,0.1,-0.7572924364566804,-0.22052543163299562,-0.21884772777557374,0.0,-0.21915318965911867
