episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4
1,12,13,-0.04206421226263046,0.4138387441635132,1.311682105064392,2.4797027111053467,0,3,1,20,0,-5.0,8.676367282867432,0.9988006597800497,-0.21898488998413088,0.0,0.0,0.0,0.0
2,14,15,0.03874953091144562,0.40451544523239136,0.5568307042121887,1.4807389974594116,0,3,1,12,3,2.5,10.430073201656342,0.9986009096361004,0.0,0.0,0.0,-0.21772518157958987,0.0
3,14,15,0.048822104930877686,0.40032511949539185,0.8949342966079712,1.9305710792541504,0,3,1,15,3,2.5,10.669279515743256,0.9986009096361004,0.0960955215215683,0.0857998549938202,0.0,-0.21773328781127932,0.0
4,14,15,-0.1070035919547081,-0.4064312279224396,-1.337273120880127,-2.5477969646453857,0,-3,-1,-20,3,2.5,10.7811998128891,0.9986009096361004,0.0,0.0,0.0,-0.21851842403411867,0.0
5,14,15,-0.27079707384109497,-0.39713427424430847,-1.8924660682678223,-3.336369752883911,0,-3,-2,-27,3,2.5,10.845013976097107,0.9986009096361004,0.0,0.0,0.0,-0.21836318969726565,0.0
6,16,17,-0.015066063962876797,-0.4084167778491974,-0.7748094797134399,-1.8630201816558838,0,-3,-1,-15,2,0.0,12.297071278095245,0.9984011994401822,0.0,0.0,-0.14080690324306488,0.0847294569015503,0.0
7,16,17,-0.1003601998090744,-0.4011552631855011,-1.9473624229431152,-3.481332302093506,0,-3,-2,-28,2,0.0,12.702753722667694,0.9984011994401822,0.0,0.0,-0.21895322799682618,0.0,0.0
8,17,18,0.16084474325180054,0.4113248884677887,0.9262963533401489,2.0794520378112793,0,3,1,17,1,-2.5,13.395107686519623,0.9983013593202382,0.1781678182643652,-0.06287010713994501,0.0,0.0,0.0
9,17,18,0.2607536315917969,0.4156571924686432,0.6277192831039429,1.627659797668457,0,3,1,13,1,-2.5,13.55615246295929,0.9983013593202382,0.0,-0.14159016013145448,0.08666402697563172,0.16267761766910555,0.3270072524063247
10,17,18,0.09562590718269348,0.398268461227417,1.5927647352218628,2.962648391723633,0,3,2,24,2,0.0,13.786072909832,0.9983013593202382,0.0,0.0,-0.21827704906463624,0.0,0.0
11,18,19,-0.02414274588227272,0.402467280626297,0.8969854712486267,2.050952196121216,0,3,1,16,0,-5.0,14.42605608701706,0.9982015291843062,-0.21766250133514406,0.08541113734245301,0.08839765191078186,0.08713626861572266,0.08287376165390015
12,18,19,-0.2967337369918823,-0.4036851227283478,-1.0747092962265015,-2.3057384490966797,0,-3,-1,-18,1,-2.5,14.407684624195099,0.9982015291843062,0.0,-0.21832692623138428,0.0,0.1759507117033005,0.08540616035461426
13,19,20,0.2814596891403198,0.4064182937145233,0.6959643363952637,1.8439918756484985,0,3,1,15,3,2.5,15.144347488880157,0.9981017090313877,0.1994919837290168,0.24796704381245377,0.0,-0.4141462898254395,0.08551605343818665
14,19,20,-0.04352370277047157,0.41281434893608093,0.14795297384262085,1.090389370918274,0,3,0,9,1,-2.5,14.995562851428986,0.9981017090313877,0.0878690779209137,-0.06851248514652253,0.0,0.16608746230602267,0.0
15,19,20,-0.31618914008140564,-0.4013606011867523,-1.1658774614334106,-2.4396064281463623,0,-3,-1,-20,4,5.0,15.515888750553131,0.9981017090313877,0.0,0.0,0.08389097452163696,-0.21851842403411867,-0.14077888607978822
16,19,20,0.022335411980748177,-0.4016026258468628,-0.9718245267868042,-2.182204484939575,0,-3,-1,-17,3,2.5,15.475208640098572,0.9981017090313877,0.0,0.0,0.08811310529708863,-0.049466461900110836,0.0
17,19,20,-0.33468079566955566,-0.4083976149559021,-0.9003240466117859,-2.032702922821045,0,-3,-1,-16,3,2.5,15.579158067703247,0.9981017090313877,0.17481913226842882,0.0,0.0,-0.004240685373544717,0.0
18,20,21,0.040295638144016266,0.4092460870742798,1.110205054283142,2.404064655303955,0,3,1,19,0,-5.0,16.425337195396423,0.9980018988604846,-0.13978678286075594,0.08380200862884522,0.0,0.0,0.0
19,20,21,-0.2927272915840149,-0.4132188558578491,-0.5533060431480408,-1.6131881475448608,0,-3,-1,-13,4,5.0,16.330446422100067,0.9980018988604846,0.0952918172778666,0.09183842937350273,0.0,0.235580928504467,-0.13037390178740027
20,21,22,-0.06726235151290894,-0.41664424538612366,-0.5979982018470764,-1.731557846069336,0,-3,-1,-14,0,-5.0,17.180676221847534,0.9979020986705985,-0.07340774899721147,0.19779843799841407,0.2532476508265734,0.08660569787025452,0.08519909977912904
21,21,22,0.11081408709287643,-0.39760440587997437,-1.247354507446289,-2.6571176052093506,0,-3,-1,-21,2,0.0,17.260634779930115,0.9979020986705985,0.08776068687438965,0.08577188253402711,-0.21797864437103273,0.0,0.0
22,21,22,0.27538302540779114,0.40474173426628113,0.4907594323158264,1.585213303565979,0,3,0,13,3,2.5,17.137564420700073,0.9979020986705985,0.0,0.0,0.0,-0.2178351163864136,0.0
23,21,22,-0.1540912687778473,-0.4125082492828369,-0.7372618913650513,-1.9564502239227295,0,-3,-1,-16,2,0.0,17.07754957675934,0.9979020986705985,0.2518023256888986,0.09627314015626909,-0.21868486404418946,-0.004240685373544717,0.0
24,22,23,0.29722869396209717,0.41313719749450684,2.116736888885498,3.793510675430298,0,3,2,30,1,-2.5,18.710062384605408,0.9978023084607315,0.0,-0.22015814781188967,0.0,0.0,0.0
25,22,23,0.10163570940494537,0.4119662940502167,0.3386622369289398,1.4358341693878174,0,3,0,11,0,-5.0,17.899620473384857,0.9978023084607315,-0.21797649860382082,0.08781253099441529,0.08870570659637451,0.1988604792010647,0.0
26,22,23,0.07990714907646179,0.4140481948852539,1.3552743196487427,2.7854886054992676,0,3,1,22,0,-5.0,18.48849445581436,0.9978023084607315,-0.21926686763763428,0.0,0.0,0.0,0.0
27,22,23,-0.03824587166309357,-0.41671034693717957,-0.8047775030136108,-2.0238847732543945,0,-3,-1,-16,1,-2.5,18.218163192272186,0.9978023084607315,0.2518023256888986,-0.13258055802226065,-0.21868486404418946,-0.004240685373544717,0.0
28,23,24,0.021447638049721718,-0.3994506001472473,-1.0967727899551392,-2.3722620010375977,0,-3,-1,-19,3,2.5,19.54961907863617,0.9977025282298854,0.23642691017091277,0.08772594332695008,0.17116522527640432,-0.12160695024463537,0.0
29,23,24,-0.1261349320411682,-0.39618706703186035,-1.3298766613006592,-2.8251593112945557,0,-3,-1,-23,3,2.5,19.172077178955078,0.9977025282298854,0.0,0.0,0.0,-0.21787734031677247,0.0
30,23,24,-0.17162981629371643,-0.4106634855270386,-0.4991450011730194,-1.711600422859192,0,-3,0,-14,4,5.0,18.79453217983246,0.9977025282298854,0.0,0.0,0.0,0.0,-0.21809120178222657
31,23,24,0.24968039989471436,0.39508870244026184,1.5891777276992798,3.0804576873779297,0,3,2,25,4,5.0,19.700389206409454,0.9977025282298854,0.0,0.0,0.0,0.0,-0.14017259299755097
32,23,24,0.13902533054351807,0.4109596908092499,0.4999709725379944,1.6818320751190186,0,3,0,13,1,-2.5,18.941686809062958,0.9977025282298854,0.0,-0.21820926666259766,0.0,-0.2178351163864136,0.0
33,23,24,-0.010286259464919567,-0.4149039089679718,-1.403029441833496,-2.8917460441589355,0,-3,-1,-23,0,-5.0,19.262514293193817,0.9977025282298854,-0.21992158889770508,0.0,0.0,-0.21787734031677247,0.0
34,24,25,0.027550963684916496,0.408896803855896,1.473761796951294,2.8580594062805176,0,3,1,23,2,0.0,20.715983510017395,0.9976027579770624,0.0,0.0,-0.15954474599123,0.0,0.0
35,24,25,-0.055056992918252945,-0.4126068949699402,0.19940683245658875,-0.8870101571083069,0,-3,0,-7,0,-5.0,19.168396830558777,0.9976027579770624,-0.21806194782257082,0.09391548041059375,0.0,0.18845364556789396,0.1789826767861366
36,24,25,-0.10591364651918411,-0.41799643635749817,0.3961333632469177,-0.4367557764053345,0,-3,0,-3,1,-2.5,19.920653104782104,0.9976027579770624,0.0,-0.21802973747253418,0.24420218657374387,0.0,0.08657746315002442
37,24,25,0.05907748267054558,0.41236916184425354,0.046379249542951584,1.083348035812378,0,3,0,9,2,0.0,19.817609310150146,0.9976027579770624,0.2544606754219532,0.05103825585667805,-0.21796135902404787,0.24607787950038912,0.08374623415052891
38,24,25,-0.024448422715067863,-0.4153645634651184,0.12363888323307037,-0.7005510330200195,0,-3,0,-6,4,5.0,20.372515976428986,0.9976027579770624,0.24424851880073548,0.09189318951964379,0.08516975045204163,0.0,-0.14142690420150758
39,25,26,-0.17217695713043213,-0.40477606654167175,-1.215914011001587,-2.6166226863861084,0,-3,-1,-21,2,0.0,21.434429943561554,0.9975029977012647,0.08776068687438965,0.08577188253402711,-0.41474061727523803,0.0,0.0
40,25,26,0.23431366682052612,0.40566810965538025,0.9062859416007996,2.301413059234619,0,3,1,18,1,-2.5,21.027858018875122,0.9975029977012647,0.09449595803022386,0.12343442566239732,0.0,0.09284277992248535,0.17288978143930436
41,25,26,-0.3191813826560974,-0.4053928554058075,-0.6033719182014465,-1.8925737142562866,0,-3,-1,-15,2,0.0,20.7904452085495,0.9975029977012647,0.17396083168298007,0.0,-0.08926335997658966,0.24719272921767832,0.17192299587726595
42,25,26,0.30147436261177063,0.39752060174942017,1.1585733890533447,2.4617342948913574,0,3,1,20,1,-2.5,21.582436442375183,0.9975029977012647,-0.21898488998413088,-0.13910250186920167,0.09421745989322663,0.0,0.16108816742897036
43,25,26,-0.3192833960056305,-0.409305602312088,-0.09349267184734344,-1.1343668699264526,0,-3,0,-9,3,2.5,20.89616107940674,0.9975029977012647,0.2413725134096742,0.3170292590442769,0.3351945628256798,-0.053160323648512336,0.303500514125824
44,25,26,0.09904030710458755,0.4112800359725952,0.6086277365684509,1.8787633180618286,0,3,1,15,2,0.0,20.916213154792786,0.9975029977012647,0.24398149549729709,0.3443549178414125,-0.13686886798409953,0.21282390407455848,0.08551605343818665
45,25,26,-0.009901403449475765,0.4088617265224457,1.384998083114624,2.8075475692749023,0,3,1,22,4,5.0,21.494474351406097,0.9975029977012647,-0.1111724281311035,0.0,0.0,0.0,-0.21931357383728028
46,26,27,-0.28936493396759033,-0.39807426929473877,-0.9765977263450623,-2.218508005142212,0,-3,-1,-18,2,0.0,22.475158512592316,0.9974032474014946,0.0965238890378968,-0.0927961412191391,-0.21766324043273927,0.1759507117033005,0.17515035920790137
47,26,27,0.040273699909448624,0.4026069641113281,0.9399595260620117,2.1587119102478027,0,3,1,17,3,2.5,22.414719998836517,0.9974032474014946,0.34734788789303406,0.14130942061736704,0.10155772096037269,0.045076964453691276,0.09576512067317963
48,26,27,-0.3017013669013977,-0.3978270888328552,-0.7142350673675537,-2.0033881664276123,0,-3,-1,-16,0,-5.0,22.089762210845947,0.9974032474014946,0.008912074962049737,-0.03516882618701456,-0.21868486404418946,0.10410181878253447,0.08435499668121338
49,27,28,0.23793521523475647,0.39765048027038574,0.9215465784072876,2.103046178817749,0,3,1,17,4,5.0,23.660630762577057,0.9973035070767544,0.34734788789303406,0.14130942061736704,0.10155772096037269,0.045076964453691276,-0.13158022741556166
50,27,28,0.30191493034362793,0.40303856134414673,1.1608304977416992,2.5767693519592285,0,3,1,21,4,5.0,23.423483192920685,0.9973035070767544,0.0,0.16215429544448853,0.0,0.083280348777771,-0.21861810684204103
51,27,28,0.03415221348404884,0.41315701603889465,0.16599880158901215,1.341033935546875,0,3,0,11,4,5.0,22.738211512565613,0.9973035070767544,-0.0926927052425146,0.3213960142501994,0.08870570659637451,0.1988604792010647,-0.08394204154733512
52,27,28,0.06343885511159897,0.4159014821052551,1.0035686492919922,2.3490378856658936,0,3,1,19,0,-5.0,23.448616802692413,0.9973035070767544,-0.34487520128488547,0.2497650920158261,0.1897164522935891,0.08375599384307862,0.15785398542881013
53,27,28,-0.02091621421277523,0.41102880239486694,0.0517875999212265,1.2026896476745605,0,3,0,10,2,0.0,22.527820706367493,0.9973035070767544,0.25165704101539643,0.11011579214280487,-0.05619591284427805,0.2413678264796734,0.09724934025406838
54,27,28,-0.0791446641087532,-0.40265700221061707,-1.0961052179336548,-2.187831401824951,0,-3,-1,-18,1,-2.5,23.83014976978302,0.9973035070767544,0.0965238890378968,-0.30165455428838733,-0.12129700241177083,0.1759507117033005,0.2544773230265197
55,27,28,-0.09215430170297623,-0.409419983625412,-0.21957795321941376,-1.2578166723251343,0,-3,0,-10,0,-5.0,23.077316224575043,0.9973035070767544,-0.21808569431304933,0.31329777724207897,0.18489139064088408,0.3636116744814188,0.4016064011267298
56,27,28,0.08008738607168198,-0.41794314980506897,0.35688140988349915,-0.6707794070243835,0,-3,0,-5,2,0.0,22.415018260478973,0.9973035070767544,0.3137183023575776,0.21211231988352117,-0.040458961441516894,0.30564934375166897,0.22844006639719014
57,27,28,0.06066697835922241,-0.41137245297431946,-0.38802915811538696,-1.5860422849655151,0,-3,0,-13,3,2.5,23.06119066476822,0.9973035070767544,0.09291615023524762,0.0,0.0,-0.2181684970855713,0.0
58,27,28,0.18834319710731506,0.4050372540950775,0.8279711008071899,2.0881218910217285,0,3,1,17,1,-2.5,23.3444544672966,0.9973035070767544,0.34734788789303406,-0.09085400073056352,0.10155772096037269,0.09262975714102449,-0.13158022741556166
59,28,29,0.126667320728302,0.4128834903240204,0.4219895601272583,1.6822532415390015,0,3,0,13,4,5.0,23.766251146793365,0.9972037767260468,0.0,-0.21820926666259766,0.0,-0.12555460915700362,-0.21873555183410645
60,28,29,0.32982057332992554,0.41510194540023804,1.4216852188110352,2.8740127086639404,0,3,1,23,0,-5.0,24.5061212182045,0.9972037767260468,-0.21943402290344238,0.0,-0.15954474599123,0.0,0.0
61,28,29,0.09765800088644028,0.4049747884273529,0.6004759669303894,2.005998373031616,0,3,1,16,0,-5.0,23.75941228866577,0.9972037767260468,-0.41374707937240607,0.08541113734245301,0.18533502637960197,0.3220718732913852,0.24917352002978327
62,28,29,-0.04259652644395828,0.4174879491329193,0.5244736075401306,1.9264097213745117,0,3,1,15,3,2.5,23.434146881103516,0.9972037767260468,0.24398149549729709,0.3443549178414125,0.09537129400406012,0.11613968247663942,0.1314696694162488
63,28,29,-0.11282657831907272,0.4186422824859619,0.6063486933708191,1.9153707027435303,0,3,1,15,0,-5.0,24.021590888500214,0.9972037767260468,0.0006334081271327785,0.3443549178414125,0.09537129400406012,0.11613968247663942,0.1314696694162488
64,29,30,-0.09737708419561386,-0.4023047387599945,-1.3722583055496216,-2.658686876296997,0,-3,-1,-21,4,5.0,25.87907236814499,0.9971040563483742,0.08776068687438965,0.08577188253402711,-0.41474061727523803,0.0942269094870542,-0.21813752651214602
65,29,30,0.2215808480978012,0.41537925601005554,0.8102483749389648,2.159027576446533,0,3,1,17,0,-5.0,25.113471269607544,0.9971040563483742,0.0937469654138503,-0.09085400073056352,0.10155772096037269,0.09262975714102449,-0.13158022741556166
66,29,30,0.2281179428100586,0.4169599115848541,-0.1429394781589508,0.9939407110214233,0,3,0,8,4,5.0,24.438635230064392,0.9971040563483742,0.23675715637207034,0.11315756087981046,0.6127346563865476,0.43071453142152866,0.07137405997669694
67,29,30,0.08289792388677597,-0.41223785281181335,-0.8497450351715088,-2.3187994956970215,0,-3,-1,-19,4,5.0,24.801449716091156,0.9971040563483742,0.23642691017091277,0.08772594332695008,0.17116522527640432,0.08210975918543606,-0.02533004121905269
68,29,30,-0.10231786966323853,-0.41415196657180786,0.05169416964054108,-1.2016735076904297,0,-3,0,-10,2,0.0,24.125130534172058,0.9971040563483742,-0.21808569431304933,0.31329777724207897,-0.051815884256944555,0.3636116744814188,0.4016064011267298
69,30,31,0.18506427109241486,0.4091622829437256,1.467726707458496,2.930020332336426,0,3,1,23,2,0.0,26.6642062664032,0.9970043459427393,-0.21943402290344238,0.0,-0.3627900480415821,0.0,0.0
